tag,Temp_amb,Transparencia,Temp_agua,Oxidacion,Conductividad,pH,Sulfuros,pH_CEA,OD,Hierro,DQO,DBO,Colif_Fecales,Colif_Totales,SST,Alc_Total,Cl-Total,Conductividad,Dureza,Fl,P_Total,Nitratos,Nitritos,N_total,SDT,SS,Solidos_Totales,Sulfatos,Al,As,Ba,Cu,Mn,Pb,Na,Zn,Turbiedad,Año,Mes,Est
01-may-15,27,0.1,23.38,4.6,0.844,7.9,2.3,9.31,12.79,0.23,267.32,30,15000,46000,62,388.72,72.73,918,147.07,1,1.27,0.13,0.022,9.28,698,0.1,760,13.67,0.4059,0.0025,0.0139,0.05,0.062,0.0025,124.3,0.02,60,15,5,1
02-may-15,22,0.12,20.91,4.5,0.819,7.79,2.3,9.4,13.78,0.094,274.87,30.84,150,430,42,396.89,72.58,899,158.76,1.11,1.12,0.11,0.022,8.66,703,0.1,745,13.32,0.0968,0.0025,0.012,0.05,0.05,0.0025,124.8,0.038,50,15,5,2
03-may-15,24,0.12,22.51,6.17,0.841,7.45,2.4,9.28,7.23,0.086,227.75,23.22,230,930,64,387.28,73.15,960,161.88,1.17,1.2,0.1,0.022,8.25,718,0.1,782,15.19,0.099,0.0025,0.012,0.05,0.05,0.0025,125.7,0.024,50,15,5,3
04-may-15,24,0.12,25.28,8.18,0.838,7.58,2.8,9.38,12.32,0.082,246.42,33.36,40,90,71,386.32,72.11,921,149.8,1.14,1.14,0.12,0.022,8.73,715,0.1,786,12.44,0.01298,0.0025,0.0135,0.05,0.05,0.0025,125.4,0.023,60,15,5,4
05-may-15,25,0.12,23.48,4.8,0.841,7.8,4,9.47,15.97,0.102,792.75,36.6,90,150,62,408.42,73.25,900,156.03,1.12,1.11,0.12,0.022,8.55,691,0.1,753,13.72,0.1892,0.0025,0.0132,0.05,0.05,0.0025,125,0.042,50,15,5,5
01-jun-15,25,0.12,25.82,7.9,0.846,7.35,1.2,9.23,5.75,0.15,201.11,33.6,2400,2400,86,401.7,74.87,965,144.74,1.1,1.21,0.16,0.022,8.11,660,0.1,746,2.95,0.187,0.0025,0.0151,0.05,0.06,0.0025,127.6,0.051,55,15,6,1
02-jun-15,22,0.07,24.61,3.1,0.813,7.3,3.1,9.4,12.82,0.108,196.44,27.6,70,430,78,410.83,75.63,949,153.5,1.17,1.25,0.12,0.022,8.55,694,0.1,772,2.95,0.0781,0.0025,0.0156,0.05,0.053,0.0025,127.6,0.034,75,15,6,2
03-jun-15,23,0.1,24.09,3.03,0.819,7.32,3.2,9.32,9.92,0.108,205.2,29.7,90,230,73,408.42,75.25,948,144.15,1.43,1.24,0.12,0.022,8.61,683,0.1,756,2.98,0.1243,0.0025,0.0144,0.05,0.053,0.0025,126.9,0.023,55,15,6,3
04-jun-15,25,0.15,23.67,4.2,0.801,7.41,2,9.23,3.73,0.097,190.89,23.52,230,430,76,396.89,74.92,959,152.33,1.26,1.2,0.15,0.022,8.04,688,0.1,744,298,0.1606,0.0025,0.0155,0.05,0.053,0.0025,126,0.04,65,15,6,4
05-jun-15,25,0.12,24.39,5.1,0.836,7.39,3.4,9.26,7.54,0.115,204.3,16.41,2400,2400,78,406.98,74.97,953,155.64,1.77,1.21,0.16,0.022,8.47,681,0.1,759,2.95,0.1969,0.0025,0.0151,0.05,0.055,0.0025,126.1,0.02,75,15,6,5
01-jul-15,26,0.15,25.42,8,0.723,7.65,2.2,8.22,4.63,0.255,114.37,9.72,110000,110000,56,331.09,59.81,752,142,0.76,1.19,0.18,0.022,7.06,580,0.1,636,13.16,0.5214,0.0025,0.0096,0.05,0.063,0.0025,101.7,0.053,60,15,7,1
02-jul-15,22,0.15,25.12,4.4,0.689,7.39,2.06,8.27,4.32,0.143,132.77,10.2,11000,11000,62,355.61,63.62,786,147.8,0.86,1.24,0.15,0.022,5.97,577,0.1,639,11.81,0.3157,0.0025,0.0115,0.05,0.05,0.0025,108,0.042,50,15,7,2
03-jul-15,24,0.15,24.4,4.3,0.709,7.65,1.2,8.22,4.78,0.106,121.96,9.48,430,930,46,358.55,62.27,773,152.43,0.84,1.21,0.2,0.022,6.43,621,0.1,667,11.53,0.1804,0.0025,0.01,0.05,0.031,0.0025,108.9,0.026,50,15,7,3
04-jul-15,24,0.15,24.1,4.54,0.718,7.63,2.1,8.24,4.38,0.374,136.57,9.15,15000,46000,60,342.37,66.45,778,141.8,0.89,1.18,0.15,0.022,6.14,574,0.1,634,12.23,0.781,0.0025,0.0095,0.05,0.05,0.0025,106,0.425,50,15,7,4
05-jul-15,24,0.15,24.34,6.11,0.78,7.61,2,8.29,4.3,0.262,132.48,8.85,2300,9300,57,345.31,61.9,778,141.8,0.72,1.18,0.2,0.022,6.97,564,0.1,621,10.94,0.5522,0.0025,0.0097,0.05,0.05,0.0025,106.8,0.682,50,15,7,5
01-ago-15,25,0.35,26.15,3.2,0.708,7.35,1.28,8.86,6.63,0.068,154.68,11.07,430,930,30,340.62,57,798,125.88,0.8,1.16,0.12,0.022,7.72,557,0.1,587,10.72,0.0572,0.0025,0.0078,0.05,0.146,0.0025,101.6,0.052,32,15,8,1
02-ago-15,21,0.25,26.15,1.51,0.706,7.2,1.4,9.06,5.04,0.05,93.37,17.01,230,930,37,340.14,56.95,783,135.94,0.72,1.17,0.1,0.022,7.12,556,0.1,593,10.38,0.0924,0.0025,0.0075,0.05,0.106,0.0025,100.7,0.036,32,15,8,2
03-ago-15,22,0.3,25.17,1.5,0.704,7.33,1.58,9.08,4.98,0.052,102.39,19.62,90,230,46,353.31,57.49,775,131.8,0.77,1.21,0.11,0.022,7.59,558,0.1,604,10.72,0.1078,0.0025,0.0089,0.05,0.075,0.0025,101.1,0.036,30,15,8,3
04-ago-15,23,0.35,24.47,1.9,0.708,7.46,1.22,9.05,4.47,0.05,97.81,16.17,230,430,32,337.7,58.75,777,129.82,0.83,1.2,0.1,0.022,6.88,568,0.1,600,9.72,0.0715,0.0025,0.0073,0.05,0.084,0.0025,99.7,0.036,29,15,8,4
05-ago-15,24,0.4,25.65,3.37,0.71,7.36,1.34,9.07,4.26,0.056,92.38,16.26,400,900,39,344.04,58.84,775,134.95,0.89,1.07,0.1,0.022,6.88,565,0.1,604,9.45,0.1111,0.0025,0.0087,0.05,0.73,0.0025,100.9,0.039,27,15,8,5
01-sep-15,24,0.25,25.43,1.68,0.707,7.43,2.3,8.79,2.22,0.05,147.98,11.31,430,430,14,350.52,56.71,804,142.2,0.91,1.15,0.12,0.022,6.8,566,0.1,580,8.55,0.0671,0.0025,0.005,0.05,0.087,0.0025,98.2,0.02,28,15,9,1
02-sep-15,22,0.26,26.05,6.25,0.697,7.37,2.34,8.88,3.24,0.05,155.11,10.89,230,230,20,352,55.74,819,146.6,0.93,1.1,0.1,0.022,6.72,593,0.1,613,9.05,0.055,0.0025,0.005,0.05,0.085,0.0025,97.8,0.02,30,15,9,2
03-sep-15,24,0.3,25.23,2.18,0.71,7.47,2.1,8.74,1.7,0.05,95.56,10.08,230,430,22,346.48,55.79,821,143.8,0.93,1.13,0.1,0.022,6.42,572,0.1,594,8.02,0.0583,0.0025,0.005,0.05,0.106,0.0025,98,0.02,24,15,9,3
04-sep-15,24,0.35,25.05,4.29,0.706,7.47,2.5,8.79,2.25,0.05,98.09,12.03,430,930,19,344.11,55.04,825,145.8,0.93,1.14,0.1,0.022,6.44,435,0.1,454,8.26,0.0484,0.0025,0.005,0.05,0.094,0.0025,96.1,0.029,27,15,9,4
05-sep-15,24,0.25,25.53,4.45,0.7,7.53,2.58,8.75,1.54,0.05,94.55,9.78,2400,4600,11,353.48,93.82,823,136.6,0.89,1.17,0.1,0.022,5.49,545,0.1,556,8.18,0.0517,0.0025,0.005,0.05,0.102,0.0025,96.7,0.02,25,15,9,5
01-oct-15,27.4,0.15,24.03,9.72,0.66,7.64,1.38,8.7,1.7,0.177,97.78,19.08,110000,110000,20,325.7,53.3,779,142.43,0.84,1.33,0.1,0.022,7.92,567,0.1,587,8.56,0.01,0.0025,0.0085,0.05,0.203,0.0025,84.4,0.052,45,15,10,1
02-oct-15,26.2,0.15,22.53,4.49,0.618,7.6,1.8,9.25,8.62,0.081,164.02,11.07,430,430,20,329.11,56.61,772,149.04,0.95,1.01,0.1,0.022,6.14,563,0.1,583,8.87,0.01,0.0025,0.0095,0.05,0.065,0.0025,87.8,0.045,55,15,10,2
03-oct-15,24.4,0.15,22.79,8,0.658,7.62,2.26,9.14,5.14,0.0072,96.77,11.7,230,230,22,324.23,57.4,775,147.04,0.97,1.05,0.1,0.022,6.38,572,0.1,594,8.65,0.01,0.0025,0.0098,0.05,0.09,0.0025,86.5,0.041,60,15,10,3
04-oct-15,24.7,0.15,23.78,8.3,0.661,7.96,1.54,9.16,6.09,0.059,96.26,10.62,230,230,24,325.7,57.05,767,139.82,0.95,1.04,0.1,0.022,6.14,548,0.1,572,11.05,0.01,0.0025,0.0105,0.05,0.074,0.0025,87.5,0.037,55,15,10,4
05-oct-15,28.6,0.15,24.02,10.1,0.655,7.65,1.68,9.13,4.82,0.064,91.73,10.11,2400,2400,32,334,55.12,772,155.06,0.97,1.02,0.1,0.022,8.03,555,0.1,587,10.07,0.01,0.0025,0.005,0.05,0.074,0.0025,87.3,0.033,60,15,10,5
01-nov-15,,,,,,,6.4,9.33,13.89,0.362,206.81,22.11,110000,110000,72,306.73,53.32,696,134.39,0.9,1.11,0.1,0.022,8.15,500,0.1,572,7.82,0.3432,0.0025,0.0096,0.05,0.05,0.0051,86.3,0.02,75,15,11,1
02-nov-15,,,,,,,2.5,9.41,14.7,0.137,202.05,19.08,11000,24000,64,320.74,55.61,733,136.74,0.92,0.9,0.1,0.022,5.38,512,0.1,576,7.72,0.01,0.0025,0.0098,0.05,0.05,0.0025,92.8,0.02,65,15,11,2
03-nov-15,,,,,,,7.3,9.11,10.28,0.159,194.69,14058,46000,46000,50,314.65,54.58,691,133.42,0.89,1.03,0.1,0.022,6.44,503,0.1,553,8.4,0.01,0.0025,0.0073,0.05,0.058,0.0025,92.4,0.02,60,15,11,3
04-nov-15,,,,,,,2.64,9.2,10.07,0.092,190.29,13.11,930,2400,49,319.32,55.68,733,136.74,0.91,1.03,0.1,0.022,6.5,496,0.1,545,8.07,0.01,0.0025,0.0101,0.05,0.05,0.0025,94.3,0.02,65,15,11,4
05-nov-15,,,,,,,2.6,9.17,8.84,0.083,186.96,12.51,2400,4600,48,322.16,55.75,711,132.64,0.94,0.99,0.1,0.022,6.03,517,0.1,565,8.83,0.01,0.0025,0.0095,0.05,0.05,0.0025,92,0.02,60,15,11,5
01-dic-15,26,0.15,19.44,6,0.655,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,1
