"Phylum","Clase","Orden","Familia","Género"
"Bacillariophyta","Bacillariophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira"
"Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella"
"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinosicaceae","Coscinodiscus"
"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Fragilaria"
"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula"
"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia"
"Bacillariophyta","Bacillariophyceae","Surirellales","Surirellaceae","Surirella"
"Charophyta","Zygnematophyceae","Zygnematales","Closteriaceae","Closterium"
"Charophyta","Zygnematophyceae","Zygnematales","Desmidiaceae","Staurastrum"
"Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Actinastrum"
"Chlorophyta","Chlorophyceae","Chlamydomonadales","Treubariaceae","Treubaria"
"Chlorophyta","Chlorophyceae","Chlorellales","Chlorellaceae","Dyctiosphaerium"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Neochloridaceae","Golenkinia"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Tetrastrum"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Kirchneriella"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Monoraphidium"
"Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum"
"Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Eudorina"
"Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Pandorina"
"Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Chlorella"
"Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Micractinium"
"Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia"
"Chlorophyta","Trebouxiophyceae","Oocystales","Oocystaceae","Pachycladella"
"Chlorophyta","Trebouxiophyceae","Trebouxiales","Botryococcaceae","Botryococcus"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Chamaesiphonaceae","Merismopedia"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gloeocapsaceae","Gloeocapsa"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Gomphosphaeria"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Woronichinia"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Arthrospira"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Lyngbya"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Planktothrix"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Anacystis"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Chroococcus"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Snowella"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Aphanizomenon"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermopsis"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermun"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Raphidiopsis"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia"
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Oscillatoria "
"Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya"
"Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Planktolyngbya"
"Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena"
"Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Aphanocapsa"
"Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Coelosphaerium"
"Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcaceae","Synechococcus"
"Euglenozoa","Euglenoidea","Euglenida","Euglenaceae","Euglena"
"Euglenozoa","Euglenoidea","Euglenida","Phacidae","Lepocinclis"
"Euglenozoa","Euglenoidea","Euglenida","Phacidae","Phacus"
"Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium"
"Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Cyclotella"
"Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Stephanodiscus"
