Parámetro,Descripción,unidades, Método
Temperatura,Temperatura,°C,NMX-AA-007
pH,Potencial de hidrógeno,,NMX-AA-008
Oxígeno disuelto,Oxígeno disuelto,mg/l,NMX-AA-012
Conductividad,Conductividad,µS/cm,NMX-AA-093
Turbiedad,Turbiedad,UNT,NMX-AA-038
Alcalinidad total,Alcalinidad total,mg/l,NMX-AA-036
Cloruros totales,Cloruros totales,mg/l,NMX-AA-073
Dureza total,Dureza total,mg/l,NMX-AA-072
Fluoruros,Fluoruros,mg/l,NMX-AA-077
Nitrógeno de nitratos,Nitrógeno de nitratos,mg/l,NMX-AA-079
Nitrógeno de nitritos,Nitrógeno de nitritos,mg/l,NMX-AA-099
Nitrógeno amoniacal,Nitrógeno amoniacal,mg/l,NMX-AA-026
Nitrógeno total Kjeldahl,Nitrógeno total Kjeldahl,mg/l,NMX-AA-026
Sulfatos,Sulfatos,mg/l,NMX-AA-074
SAAM,Sustancias activas al azul de metileno,mg/l,NMX-AA-039
DBO 5,Demanda bioquímica de oxígeno,mg/l,NMX-AA-028
DQO,Demanda química de oxígeno,mg/l,NMX-AA-030/2
Grasas y aceites,Grasas y aceites,mg/l,NMX-AA-005
Fósforo total,Fósforo total,mg/l,NMX-AA-029
SST,Sólidos suspendidos totales,mg/l,NMX-AA-034
Sólidos disueltos tot.,Sólidos disueltos totales,mg/l,NMX-AA-034
Sólidos sedimentables,Sólidos sedimentables,ml/l,NMX-AA-004
Sulfuros,Sulfuros,mg/l,NMX-AA-084
Aluminio,Aluminio,mg/l,NMX-AA-051
Arsénico,Arsénico,mg/l,NMX-AA-051
Bario,Bario,mg/l,NMX-AA-051
Cadmio,Cadmio,mg/l,NMX-AA-051
Cobre,Cobre,mg/l,NMX-AA-051
Cromo,Cromo,mg/l,NMX-AA-051
Fierro,Fierro,mg/l,NMX-AA-051
Manganeso,Manganeso,mg/l,NMX-AA-051
Mercurio,Mercurio,mg/l,NMX-AA-051
Níquel,Níquel,mg/l,NMX-AA-051
Plomo,Plomo,mg/l,NMX-AA-051
Sodio,Sodio,mg/l,NMX-AA-051
Zinc,Zinc,mg/l,NMX-AA-051
Coliformes totales,Coliformes totales,NMP/100ml,NMX-AA-042
Coliformes fecales,Coliformes fecales,NMP/100ml,NMX-AA-042
Profundidad,Profundidad,m,
Temp. ambiente,Temperatura ambiente,°C,
Transparencia Secchi,Transparencia Secchi,m,
Acidez total,Acidez total,,NMX-AA-036
Dureza de calcio,Dureza de calcio,mg/l,NMX-AA-072
Dureza de manganeso,Dureza de manganeso,mg/l,NMX-AA-072
Fenoles,Fenoles,mg/l,NMX-AA-050
Sólidos totales,Sólidos totales,mg/l,NMX-AA-034
Nitrógeno total,Nitrógeno total,,NMX-AA-026
Clorofilas,"Clorofilas A, B y C",mg/l,SM-10200-H
Plata,Plata,mg/l,NMX-AA-051
conteo de fitoplancton,conteo de fitoplancton,cel/ml,
