"fecha","año","mes","est","Phylum","Clase","Orden","Familia","Género","taxa","conteo"
2014-10-01,2014,10,"LC-01","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Actinastrum","Actinastrum sp",6
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Anacystis","Anacystis",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus",2
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Ankistrodesmus","Ankistrodesmus falcatus",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Aphanizomenon","Aphanizomenon",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Aphanocapsa","Aphanocapsa",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Arthrospira","Arthrospira",0
2014-10-01,2014,10,"LC-01","Bacillariophyta","Bacillariophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira","Aulacoseira",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Trebouxiophyceae","Trebouxiales","Botryococcaceae","Botryococcus","Botryococcus",5
2014-10-01,2014,10,"LC-01","Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium",0
2014-10-01,2014,10,"LC-01","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodicaceae","Cyclotella","Cyclotella",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermopsis","Cylindrospermopsis",10
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermun","Cylindrospermun",0
2014-10-01,2014,10,"LC-01","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Cymbella",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Chlorella","Chlorella",2
2014-10-01,2014,10,"LC-01","Charophyta","Zygnematophyceae","Zygnematales","Closteriaceae","Closterium","Closterium",3
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","Coelastrum",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Synechococcales","Merismopediaceae","Coelosphaerium","Coelosphaerium",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Chroococcus","Chroococcus",0
2014-10-01,2014,10,"LC-01","Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinosicaceae","Coscinodiscus","Coscinodiscus",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia","Crucigenia tetrapoda",15
2014-10-01,2014,10,"LC-01","Chlorophyta","Trebouxiophyceae","incertae sedis","incertae sedis","Crucigenia","Crucigenia irregularis",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Chlorellales","Chlorellaceae","Dyctiosphaerium","Dyctiosphaerium",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Eudorina","Eudorina",0
2014-10-01,2014,10,"LC-01","Euglenozoa","Euglenoidea","Euglenida","Euglenaceae","Euglena","Euglena",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gloeocapsaceae","Gloeocapsa","Gloeocapsa",2
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gomphosphaeriaceae","Gomphosphaeria","Gomphosphaeria lacustris",9
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Neochloridaceae","Golenkinia","Golenkinia",0
2014-10-01,2014,10,"LC-01","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Fragilaria","Fragilaria capuchina",0
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Kirchneriella","Kirchneriella",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya","Leptolyngbya",0
2014-10-01,2014,10,"LC-01","Euglenozoa","Euglenoidea","Euglenida","Phacidae","Lepocinclis","Lepocinclis",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Lyngbya","Lyngbya lagerhemii",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Chamaesiphonaceae","Merismopedia","Merismopedia",20
2014-10-01,2014,10,"LC-01","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Micractinium","Micractinium",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis","Microcystis sp",9
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Monoraphidium","Monoraphidium tortilé",1
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Monoraphidium","Monoraphidium griffithi",0
2014-10-01,2014,10,"LC-01","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula",3
2014-10-01,2014,10,"LC-01","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia",0
2014-10-01,2014,10,"LC-01","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Oscillatoria","Oscillatoria",16
2014-10-01,2014,10,"LC-01","Chlorophyta","Chlorophyceae","Volvocales","Volvocaceae","Pandorina","Pandorina",0
