"año","mes","est","taxa","conteo"
2022,7,"LC-01","Diplostraca",0
2022,7,"LC-01","Rotifera",0
2022,7,"LC-01","Cyclopoida",27
2022,7,"LC-01","Calanoida",674
2022,7,"LC-01","Cyclo_OV",1
2022,7,"LC-01","Cala_OV",97
2022,7,"LC-02","Diplostraca",0
2022,7,"LC-02","Rotifera",0
2022,7,"LC-02","Cyclopoida",78
2022,7,"LC-02","Calanoida",991
2022,7,"LC-02","Cyclo_OV",0
2022,7,"LC-02","Cala_OV",37
2022,7,"LC-03","Diplostraca",1
2022,7,"LC-03","Rotifera",0
2022,7,"LC-03","Cyclopoida",14
2022,7,"LC-03","Calanoida",179
2022,7,"LC-03","Cyclo_OV",0
2022,7,"LC-03","Cala_OV",12
2022,7,"LC-04","Diplostraca",5
2022,7,"LC-04","Rotifera",0
2022,7,"LC-04","Cyclopoida",17
2022,7,"LC-04","Calanoida",491
2022,7,"LC-04","Cyclo_OV",0
2022,7,"LC-04","Cala_OV",26
2022,7,"LC-05","Diplostraca",3
2022,7,"LC-05","Rotifera",0
2022,7,"LC-05","Cyclopoida",15
2022,7,"LC-05","Calanoida",158
2022,7,"LC-05","Cyclo_OV",1
2022,7,"LC-05","Cala_OV",15
2022,8,"LC-01","Diplostraca",1
2022,8,"LC-01","Rotifera",0
2022,8,"LC-01","Cyclopoida",45
2022,8,"LC-01","Calanoida",607
2022,8,"LC-01","Cyclo_OV",0
2022,8,"LC-01","Cala_OV",0
2022,8,"LC-02","Diplostraca",8
2022,8,"LC-02","Rotifera",4
2022,8,"LC-02","Cyclopoida",68
2022,8,"LC-02","Calanoida",36
2022,8,"LC-02","Cyclo_OV",0
2022,8,"LC-02","Cala_OV",4
2022,8,"LC-03","Diplostraca",1
2022,8,"LC-03","Rotifera",0
2022,8,"LC-03","Cyclopoida",13
2022,8,"LC-03","Calanoida",301
2022,8,"LC-03","Cyclo_OV",0
2022,8,"LC-03","Cala_OV",15
2022,8,"LC-04","Diplostraca",1
2022,8,"LC-04","Rotifera",1
2022,8,"LC-04","Cyclopoida",32
2022,8,"LC-04","Calanoida",690
2022,8,"LC-04","Cyclo_OV",0
2022,8,"LC-04","Cala_OV",59
2022,8,"LC-05","Diplostraca",1
2022,8,"LC-05","Rotifera",0
2022,8,"LC-05","Cyclopoida",10
2022,8,"LC-05","Calanoida",258
2022,8,"LC-05","Cyclo_OV",0
2022,8,"LC-05","Cala_OV",7
2022,9,"LC-01","Diplostraca",0
2022,9,"LC-01","Rotifera",0
2022,9,"LC-01","Cyclopoida",1
2022,9,"LC-01","Calanoida",1
2022,9,"LC-01","Cyclo_OV",0
2022,9,"LC-01","Cala_OV",0
2022,9,"LC-02","Diplostraca",0
2022,9,"LC-02","Rotifera",0
2022,9,"LC-02","Cyclopoida",2
2022,9,"LC-02","Calanoida",0
2022,9,"LC-02","Cyclo_OV",0
2022,9,"LC-02","Cala_OV",0
2022,9,"LC-03","Diplostraca",0
2022,9,"LC-03","Rotifera",9
2022,9,"LC-03","Cyclopoida",20
2022,9,"LC-03","Calanoida",4
2022,9,"LC-03","Cyclo_OV",2
2022,9,"LC-03","Cala_OV",6
2022,9,"LC-04","Diplostraca",0
2022,9,"LC-04","Rotifera",0
2022,9,"LC-04","Cyclopoida",3
2022,9,"LC-04","Calanoida",0
2022,9,"LC-04","Cyclo_OV",0
2022,9,"LC-04","Cala_OV",0
2022,9,"LC-05","Diplostraca",0
2022,9,"LC-05","Rotifera",0
2022,9,"LC-05","Cyclopoida",25
2022,9,"LC-05","Calanoida",0
2022,9,"LC-05","Cyclo_OV",5
2022,9,"LC-05","Cala_OV",0
