"","year","month","est","taxa","count"
"1",2014,10,1,"Anacystis",0
"2",2014,10,1,"Ankistrodesmus",2
"3",2014,10,1,"Ankistrodesmus falcatus",0
"4",2014,10,1,"Aphanizomenon",0
"5",2014,10,1,"Aphanocapsa",0
"6",2014,10,1,"Arthrospira",0
"7",2014,10,1,"Aulacoseira",0
"8",2014,10,1,"Botryococcus",5
"9",2014,10,1,"Ceratium",0
"10",2014,10,1,"Cyclotella",0
"11",2014,10,1,"Cilindrospermopsis",10
"12",2014,10,1,"Cilindrospermun",0
"13",2014,10,1,"Cimbela",0
"14",2014,10,1,"Chlorella",2
"15",2014,10,1,"Closterium",3
"16",2014,10,1,"Coelastrum",0
"17",2014,10,1,"Coelosphaerium",0
"18",2014,10,1,"Chroococcus",0
"19",2014,10,1,"Coscinodiscus",0
"20",2014,10,1,"Crucigenia tetrapoda",15
"21",2014,10,1,"Crucigenia irregularis",0
"22",2014,10,1,"Dyctiosphaerium",0
"23",2014,10,1,"Eudorina",0
"24",2014,10,1,"Euglena",0
"25",2014,10,1,"Gloeopcapsa",2
"26",2014,10,1,"Gomphosphaeria lacustris",9
"27",2014,10,1,"Golenkinia",0
"28",2014,10,1,"Fragilaria capuchina",0
"29",2014,10,1,"Kirchneirella",0
"30",2014,10,1,"Leptolyngbya",0
"31",2014,10,1,"Leponcinclis",0
"32",2014,10,1,"Lyngbya lagerhemii",0
"33",2014,10,1,"Merismopedia",20
"34",2014,10,1,"Micractinium",0
"35",2014,10,1,"Microcystis sp",9
"36",2014,10,1,"Monoraphydium tortilé",1
"37",2014,10,1,"Monoraphydium griffithi",0
"38",2014,10,1,"Navicula",3
"39",2014,10,1,"Nitzchia",0
"40",2014,10,1,"Oscillatoria",16
"41",2014,10,1,"Pandorina",0
"42",2014,10,1,"Pachycladella",0
"43",2014,10,1,"Phacus",6
"44",2014,10,1,"Plantotrix",13
"45",2014,10,1,"Planctolyngbya sp",25
"46",2014,10,1,"Pseudo Anabaena",0
"47",2014,10,1,"Raphidiopsis",0
"48",2014,10,1,"Rivularia",2
"49",2014,10,1,"Scenedesmus acuminatus",17
"50",2014,10,1,"Scenedesmus cuadricauda",0
"51",2014,10,1,"Scenedesmus dimorphus",4
"52",2014,10,1,"Selenastrum",0
