"fecha","año","mes","est","parámetro","valor"
2015-01-14,"2015","1","RV-01","Temperatura",13.5
2015-01-14,"2015","1","RV-01","pH",8.33
2015-01-14,"2015","1","RV-01","Oxígeno disuelto",7.51
2015-01-14,"2015","1","RV-01","Conductividad",1189
2015-01-14,"2015","1","RV-01","Alcalinidad total",407.26
2015-01-14,"2015","1","RV-01","Cloruros totales",83.57
2015-01-14,"2015","1","RV-01","Fluoruros",2.35
2015-01-14,"2015","1","RV-01","Nitrógeno amoniacal",2.2
2015-01-14,"2015","1","RV-01","DBO Turbiedad",7.06
2015-01-14,"2015","1","RV-01","DQO",39.92
2015-01-14,"2015","1","RV-01","Grasas y aceites",8.37
2015-01-14,"2015","1","RV-01","Fósforo total",2.71
2015-01-14,"2015","1","RV-01","SST",47
2015-01-14,"2015","1","RV-01","Sulfuros",0.6
2015-01-14,"2015","1","RV-01","Aluminio",6.914
2015-01-14,"2015","1","RV-01","Arsénico",0.0025
2015-01-14,"2015","1","RV-01","Bario",178
2015-01-14,"2015","1","RV-01","Cadmio",5e-04
2015-01-14,"2015","1","RV-01","Cobre",0.05
2015-01-14,"2015","1","RV-01","Cromo",0.05
2015-01-14,"2015","1","RV-01","Fierro",3.318
2015-01-14,"2015","1","RV-01","Manganeso",0.286
2015-01-14,"2015","1","RV-01","Mercurio",5e-04
2015-01-14,"2015","1","RV-01","Níquel",0.1
2015-01-14,"2015","1","RV-01","Plomo",0.0025
2015-01-14,"2015","1","RV-01","Zinc",0.02
2015-01-14,"2015","1","RV-01","Coliformes fecales",90
2015-01-14,"2015","1","RV-01","Materia flotante",
2015-01-14,"2015","1","RV-01","Color verdadero",50
2015-01-14,"2015","1","RV-01","Fenoles",0.01
2015-01-14,"2015","1","RV-01","Plata",0
2015-01-14,"2015","1","RV-01","Color",
2015-01-14,"2015","1","RV-01","Turbiedad",
2015-01-14,"2015","1","RV-01","Dureza total",
2015-01-14,"2015","1","RV-01","Nitrógeno de nitratos",
2015-01-14,"2015","1","RV-01","Nitrógeno de nitritos",
2015-01-14,"2015","1","RV-01","Sulfatos",
2015-01-14,"2015","1","RV-01","SAAM",
2015-01-14,"2015","1","RV-01","Sólidos disueltos tot.",
2015-01-14,"2015","1","RV-01","Sólidos sedimentables",
2015-01-14,"2015","1","RV-01","Sodio",
2015-01-14,"2015","1","RV-01","Coliformes totales",
2015-01-14,"2015","1","RV-01","Temp. ambiente",
2015-01-14,"2015","1","RV-01","Dureza de calcio",
2015-01-14,"2015","1","RV-01","Clorofilas",
2015-01-14,"2015","1","RV-01","Dureza de manganeso",
2015-01-14,"2015","1","RV-02","Temperatura",14.7
2015-01-14,"2015","1","RV-02","pH",8.42
2015-01-14,"2015","1","RV-02","Oxígeno disuelto",10.01
2015-01-14,"2015","1","RV-02","Conductividad",929
2015-01-14,"2015","1","RV-02","Alcalinidad total",338.9
2015-01-14,"2015","1","RV-02","Cloruros totales",41.6
2015-01-14,"2015","1","RV-02","Fluoruros",3.93
2015-01-14,"2015","1","RV-02","Nitrógeno amoniacal",1.65
2015-01-14,"2015","1","RV-02","DBO Turbiedad",14.97
2015-01-14,"2015","1","RV-02","DQO",50.63
2015-01-14,"2015","1","RV-02","Grasas y aceites",8.37
2015-01-14,"2015","1","RV-02","Fósforo total",1.47
2015-01-14,"2015","1","RV-02","SST",14
2015-01-14,"2015","1","RV-02","Sulfuros",0.6
2015-01-14,"2015","1","RV-02","Aluminio",1.8974
2015-01-14,"2015","1","RV-02","Arsénico",0.0025
2015-01-14,"2015","1","RV-02","Bario",114
2015-01-14,"2015","1","RV-02","Cadmio",5e-04
2015-01-14,"2015","1","RV-02","Cobre",0.05
2015-01-14,"2015","1","RV-02","Cromo",0.05
2015-01-14,"2015","1","RV-02","Fierro",0.89
2015-01-14,"2015","1","RV-02","Manganeso",0.206
2015-01-14,"2015","1","RV-02","Mercurio",5e-04
2015-01-14,"2015","1","RV-02","Níquel",0.1
2015-01-14,"2015","1","RV-02","Plomo",0.0025
2015-01-14,"2015","1","RV-02","Zinc",0.02
2015-01-14,"2015","1","RV-02","Coliformes fecales",150
2015-01-14,"2015","1","RV-02","Materia flotante",
2015-01-14,"2015","1","RV-02","Color verdadero",32
2015-01-14,"2015","1","RV-02","Fenoles",0.01
2015-01-14,"2015","1","RV-02","Plata",0
2015-01-14,"2015","1","RV-02","Color",
2015-01-14,"2015","1","RV-02","Turbiedad",
2015-01-14,"2015","1","RV-02","Dureza total",
2015-01-14,"2015","1","RV-02","Nitrógeno de nitratos",
2015-01-14,"2015","1","RV-02","Nitrógeno de nitritos",
2015-01-14,"2015","1","RV-02","Sulfatos",
2015-01-14,"2015","1","RV-02","SAAM",
2015-01-14,"2015","1","RV-02","Sólidos disueltos tot.",
2015-01-14,"2015","1","RV-02","Sólidos sedimentables",
2015-01-14,"2015","1","RV-02","Sodio",
2015-01-14,"2015","1","RV-02","Coliformes totales",
2015-01-14,"2015","1","RV-02","Temp. ambiente",
2015-01-14,"2015","1","RV-02","Dureza de calcio",
2015-01-14,"2015","1","RV-02","Clorofilas",
2015-01-14,"2015","1","RV-02","Dureza de manganeso",
2015-01-15,"2015","1","RV-03","Temperatura",15.2
2015-01-15,"2015","1","RV-03","pH",8.92
2015-01-15,"2015","1","RV-03","Oxígeno disuelto",7.61
2015-01-15,"2015","1","RV-03","Conductividad",830
2015-01-15,"2015","1","RV-03","Alcalinidad total",316.44
2015-01-15,"2015","1","RV-03","Cloruros totales",48.99
2015-01-15,"2015","1","RV-03","Fluoruros",3.73
2015-01-15,"2015","1","RV-03","Nitrógeno amoniacal",0.98
2015-01-15,"2015","1","RV-03","DBO Turbiedad",6.88
2015-01-15,"2015","1","RV-03","DQO",33.1
2015-01-15,"2015","1","RV-03","Grasas y aceites",8.37
2015-01-15,"2015","1","RV-03","Fósforo total",1.39
2015-01-15,"2015","1","RV-03","SST",25
2015-01-15,"2015","1","RV-03","Sulfuros",1.6
2015-01-15,"2015","1","RV-03","Aluminio",1.521
2015-01-15,"2015","1","RV-03","Arsénico",3700
2015-01-15,"2015","1","RV-03","Bario",197
2015-01-15,"2015","1","RV-03","Cadmio",5e-04
2015-01-15,"2015","1","RV-03","Cobre",0.05
2015-01-15,"2015","1","RV-03","Cromo",0.05
2015-01-15,"2015","1","RV-03","Fierro",0.782
2015-01-15,"2015","1","RV-03","Manganeso",0.224
2015-01-15,"2015","1","RV-03","Mercurio",5e-04
2015-01-15,"2015","1","RV-03","Níquel",0.1
2015-01-15,"2015","1","RV-03","Plomo",0.0025
2015-01-15,"2015","1","RV-03","Zinc",0.104
2015-01-15,"2015","1","RV-03","Coliformes fecales",3
2015-01-15,"2015","1","RV-03","Materia flotante",
2015-01-15,"2015","1","RV-03","Color verdadero",35
2015-01-15,"2015","1","RV-03","Fenoles",0.01
2015-01-15,"2015","1","RV-03","Plata",0
2015-01-15,"2015","1","RV-03","Color",
2015-01-15,"2015","1","RV-03","Turbiedad",
2015-01-15,"2015","1","RV-03","Dureza total",
2015-01-15,"2015","1","RV-03","Nitrógeno de nitratos",
2015-01-15,"2015","1","RV-03","Nitrógeno de nitritos",
2015-01-15,"2015","1","RV-03","Sulfatos",
2015-01-15,"2015","1","RV-03","SAAM",
2015-01-15,"2015","1","RV-03","Sólidos disueltos tot.",
2015-01-15,"2015","1","RV-03","Sólidos sedimentables",
2015-01-15,"2015","1","RV-03","Sodio",
2015-01-15,"2015","1","RV-03","Coliformes totales",
2015-01-15,"2015","1","RV-03","Temp. ambiente",
2015-01-15,"2015","1","RV-03","Dureza de calcio",
2015-01-15,"2015","1","RV-03","Clorofilas",
2015-01-15,"2015","1","RV-03","Dureza de manganeso",
2015-01-15,"2015","1","RV-04","Temperatura",18.9
2015-01-15,"2015","1","RV-04","pH",8.83
2015-01-15,"2015","1","RV-04","Oxígeno disuelto",7.98
2015-01-15,"2015","1","RV-04","Conductividad",808
2015-01-15,"2015","1","RV-04","Alcalinidad total",256.21
2015-01-15,"2015","1","RV-04","Cloruros totales",43.1
2015-01-15,"2015","1","RV-04","Fluoruros",5.06
2015-01-15,"2015","1","RV-04","Nitrógeno amoniacal",1.04
2015-01-15,"2015","1","RV-04","DBO Turbiedad",3.8
2015-01-15,"2015","1","RV-04","DQO",27.26
2015-01-15,"2015","1","RV-04","Grasas y aceites",8.37
2015-01-15,"2015","1","RV-04","Fósforo total",0.82
2015-01-15,"2015","1","RV-04","SST",13
2015-01-15,"2015","1","RV-04","Sulfuros",4.4
2015-01-15,"2015","1","RV-04","Aluminio",1.5113
2015-01-15,"2015","1","RV-04","Arsénico",5400
2015-01-15,"2015","1","RV-04","Bario",113
2015-01-15,"2015","1","RV-04","Cadmio",5e-04
2015-01-15,"2015","1","RV-04","Cobre",0.05
2015-01-15,"2015","1","RV-04","Cromo",0.05
2015-01-15,"2015","1","RV-04","Fierro",0.798
2015-01-15,"2015","1","RV-04","Manganeso",0.123
2015-01-15,"2015","1","RV-04","Mercurio",5e-04
2015-01-15,"2015","1","RV-04","Níquel",0.1
2015-01-15,"2015","1","RV-04","Plomo",0.0025
2015-01-15,"2015","1","RV-04","Zinc",0.101
2015-01-15,"2015","1","RV-04","Coliformes fecales",40
2015-01-15,"2015","1","RV-04","Materia flotante",
2015-01-15,"2015","1","RV-04","Color verdadero",28
2015-01-15,"2015","1","RV-04","Fenoles",0.01
2015-01-15,"2015","1","RV-04","Plata",0
2015-01-15,"2015","1","RV-04","Color",
2015-01-15,"2015","1","RV-04","Turbiedad",
2015-01-15,"2015","1","RV-04","Dureza total",
2015-01-15,"2015","1","RV-04","Nitrógeno de nitratos",
2015-01-15,"2015","1","RV-04","Nitrógeno de nitritos",
2015-01-15,"2015","1","RV-04","Sulfatos",
2015-01-15,"2015","1","RV-04","SAAM",
2015-01-15,"2015","1","RV-04","Sólidos disueltos tot.",
2015-01-15,"2015","1","RV-04","Sólidos sedimentables",
2015-01-15,"2015","1","RV-04","Sodio",
2015-01-15,"2015","1","RV-04","Coliformes totales",
2015-01-15,"2015","1","RV-04","Temp. ambiente",
2015-01-15,"2015","1","RV-04","Dureza de calcio",
2015-01-15,"2015","1","RV-04","Clorofilas",
2015-01-15,"2015","1","RV-04","Dureza de manganeso",
2015-01-14,"2015","1","RV-05","Temperatura",18.3
2015-01-14,"2015","1","RV-05","pH",8.65
2015-01-14,"2015","1","RV-05","Oxígeno disuelto",7.9
2015-01-14,"2015","1","RV-05","Conductividad",710
2015-01-14,"2015","1","RV-05","Alcalinidad total",214.14
2015-01-14,"2015","1","RV-05","Cloruros totales",38.74
2015-01-14,"2015","1","RV-05","Fluoruros",4.96
2015-01-14,"2015","1","RV-05","Nitrógeno amoniacal",1.65
2015-01-14,"2015","1","RV-05","DBO Turbiedad",3.18
2015-01-14,"2015","1","RV-05","DQO",31.15
2015-01-14,"2015","1","RV-05","Grasas y aceites",8.37
2015-01-14,"2015","1","RV-05","Fósforo total",0.69
2015-01-14,"2015","1","RV-05","SST",7
2015-01-14,"2015","1","RV-05","Sulfuros",0.2
2015-01-14,"2015","1","RV-05","Aluminio",1.4311
2015-01-14,"2015","1","RV-05","Arsénico",3900
2015-01-14,"2015","1","RV-05","Bario",6400
2015-01-14,"2015","1","RV-05","Cadmio",5e-04
2015-01-14,"2015","1","RV-05","Cobre",0.05
2015-01-14,"2015","1","RV-05","Cromo",0.05
2015-01-14,"2015","1","RV-05","Fierro",0.751
2015-01-14,"2015","1","RV-05","Manganeso",650
2015-01-14,"2015","1","RV-05","Mercurio",5e-04
2015-01-14,"2015","1","RV-05","Níquel",0.1
2015-01-14,"2015","1","RV-05","Plomo",0.0025
2015-01-14,"2015","1","RV-05","Zinc",790
2015-01-14,"2015","1","RV-05","Coliformes fecales",430
2015-01-14,"2015","1","RV-05","Materia flotante",
2015-01-14,"2015","1","RV-05","Color verdadero",34
2015-01-14,"2015","1","RV-05","Fenoles",0.01
2015-01-14,"2015","1","RV-05","Plata",0
2015-01-14,"2015","1","RV-05","Color",
2015-01-14,"2015","1","RV-05","Turbiedad",
