"fecha","año","mes","est","parámetro","valor"
2009-02-25,"2009","2","LZ-05","Temperatura",20
2009-02-25,"2009","2","LZ-05","pH",8.8
2009-02-25,"2009","2","LZ-05","Oxígeno disuelto",6.84
2009-02-25,"2009","2","LZ-05","Conductividad",969
2009-02-25,"2009","2","LZ-05","Turbiedad",25
2009-02-25,"2009","2","LZ-05","Alcalinidad total",469
2009-02-25,"2009","2","LZ-05","Cloruros totales",77.6
2009-02-25,"2009","2","LZ-05","Dureza total",168.9
2009-02-25,"2009","2","LZ-05","Fluoruros",0.77
2009-02-25,"2009","2","LZ-05","Nitrógeno de nitratos",0.1
2009-02-25,"2009","2","LZ-05","Nitrógeno de nitritos",0.057
2009-02-25,"2009","2","LZ-05","Nitrógeno amoniacal",1.38
2009-02-25,"2009","2","LZ-05","Nitrógeno total Kjeldahl",1.38
2009-02-25,"2009","2","LZ-05","Sulfatos",16.5
2009-02-25,"2009","2","LZ-05","SAAM",0.16
2009-02-25,"2009","2","LZ-05","DBO",14
2009-02-25,"2009","2","LZ-05","DQO",144.5
2009-02-25,"2009","2","LZ-05","Grasas y aceites",4.89
2009-02-25,"2009","2","LZ-05","Fósforo total",0.48
2009-02-25,"2009","2","LZ-05","SST",92
2009-02-25,"2009","2","LZ-05","Sólidos disueltos tot.",528
2009-02-25,"2009","2","LZ-05","Sólidos sedimentables",0.1
2009-02-25,"2009","2","LZ-05","Aluminio",1.974
2009-02-25,"2009","2","LZ-05","Arsénico",0.0025
2009-02-25,"2009","2","LZ-05","Bario",0.005
2009-02-25,"2009","2","LZ-05","Cadmio",0.0005
2009-02-25,"2009","2","LZ-05","Cobre",0.05
2009-02-25,"2009","2","LZ-05","Cromo",0.05
2009-02-25,"2009","2","LZ-05","Fierro",1.065
2009-02-25,"2009","2","LZ-05","Manganeso",0.123
2009-02-25,"2009","2","LZ-05","Mercurio",0.0005
2009-02-25,"2009","2","LZ-05","Níquel",0.1
2009-02-25,"2009","2","LZ-05","Plomo",0.0025
2009-02-25,"2009","2","LZ-05","Sodio",98.3
2009-02-25,"2009","2","LZ-05","Zinc",0.074
2009-02-25,"2009","2","LZ-05","Coliformes totales",3
2009-02-25,"2009","2","LZ-05","Coliformes fecales",3
2009-02-25,"2009","2","LZ-05","Sólidos totales",620
2009-02-25,"2009","2","LZ-05","Nitrógeno total",1.38
2009-02-25,"2009","2","LZ-05","Profundidad",
2009-02-25,"2009","2","LZ-05","Temp. ambiente",
2009-02-25,"2009","2","LZ-05","Transparencia Secchi",
2009-02-25,"2009","2","LZ-05","Sulfuros",
2009-02-25,"2009","2","LZ-05","Clorofilas",
2009-02-25,"2009","2","LZ-06","Temperatura",20
2009-02-25,"2009","2","LZ-06","pH",8.85
2009-02-25,"2009","2","LZ-06","Oxígeno disuelto",5.64
2009-02-25,"2009","2","LZ-06","Conductividad",935
2009-02-25,"2009","2","LZ-06","Turbiedad",32.5
2009-02-25,"2009","2","LZ-06","Alcalinidad total",469
2009-02-25,"2009","2","LZ-06","Cloruros totales",65.5
2009-02-25,"2009","2","LZ-06","Dureza total",188.9
2009-02-25,"2009","2","LZ-06","Fluoruros",0.69
2009-02-25,"2009","2","LZ-06","Nitrógeno de nitratos",0.1
2009-02-25,"2009","2","LZ-06","Nitrógeno de nitritos",0.022
2009-02-25,"2009","2","LZ-06","Nitrógeno amoniacal",0.69
