"","year","month","est","taxa","count"
"1",2022,7,1,"Diplostraca",0
"2",2022,7,1,"Rotifera",0
"3",2022,7,1,"Cyclopoida",27
"4",2022,7,1,"Calanoida",674
"5",2022,7,1,"Cyclo_OV",1
"6",2022,7,1,"Cala_OV",97
"7",2022,7,2,"Diplostraca",0
"8",2022,7,2,"Rotifera",0
"9",2022,7,2,"Cyclopoida",78
"10",2022,7,2,"Calanoida",991
"11",2022,7,2,"Cyclo_OV",0
"12",2022,7,2,"Cala_OV",37
"13",2022,7,3,"Diplostraca",1
"14",2022,7,3,"Rotifera",0
"15",2022,7,3,"Cyclopoida",14
"16",2022,7,3,"Calanoida",179
"17",2022,7,3,"Cyclo_OV",0
"18",2022,7,3,"Cala_OV",12
"19",2022,7,4,"Diplostraca",5
"20",2022,7,4,"Rotifera",0
"21",2022,7,4,"Cyclopoida",17
"22",2022,7,4,"Calanoida",491
"23",2022,7,4,"Cyclo_OV",0
"24",2022,7,4,"Cala_OV",26
"25",2022,7,5,"Diplostraca",3
"26",2022,7,5,"Rotifera",0
"27",2022,7,5,"Cyclopoida",15
"28",2022,7,5,"Calanoida",158
"29",2022,7,5,"Cyclo_OV",1
"30",2022,7,5,"Cala_OV",15
"31",2022,8,1,"Diplostraca",1
"32",2022,8,1,"Rotifera",0
"33",2022,8,1,"Cyclopoida",45
"34",2022,8,1,"Calanoida",607
"35",2022,8,1,"Cyclo_OV",0
"36",2022,8,1,"Cala_OV",0
"37",2022,8,2,"Diplostraca",8
"38",2022,8,2,"Rotifera",4
"39",2022,8,2,"Cyclopoida",68
"40",2022,8,2,"Calanoida",36
"41",2022,8,2,"Cyclo_OV",0
"42",2022,8,2,"Cala_OV",4
"43",2022,8,3,"Diplostraca",1
"44",2022,8,3,"Rotifera",0
"45",2022,8,3,"Cyclopoida",13
"46",2022,8,3,"Calanoida",301
"47",2022,8,3,"Cyclo_OV",0
"48",2022,8,3,"Cala_OV",15
"49",2022,8,4,"Diplostraca",1
"50",2022,8,4,"Rotifera",1
"51",2022,8,4,"Cyclopoida",32
"52",2022,8,4,"Calanoida",690
"53",2022,8,4,"Cyclo_OV",0
"54",2022,8,4,"Cala_OV",59
"55",2022,8,5,"Diplostraca",1
"56",2022,8,5,"Rotifera",0
"57",2022,8,5,"Cyclopoida",10
"58",2022,8,5,"Calanoida",258
"59",2022,8,5,"Cyclo_OV",0
"60",2022,8,5,"Cala_OV",7
"61",2022,9,1,"Diplostraca",0
"62",2022,9,1,"Rotifera",0
"63",2022,9,1,"Cyclopoida",1
"64",2022,9,1,"Calanoida",1
"65",2022,9,1,"Cyclo_OV",0
"66",2022,9,1,"Cala_OV",0
"67",2022,9,2,"Diplostraca",0
"68",2022,9,2,"Rotifera",0
"69",2022,9,2,"Cyclopoida",2
"70",2022,9,2,"Calanoida",0
"71",2022,9,2,"Cyclo_OV",0
"72",2022,9,2,"Cala_OV",0
"73",2022,9,3,"Diplostraca",0
"74",2022,9,3,"Rotifera",9
"75",2022,9,3,"Cyclopoida",20
"76",2022,9,3,"Calanoida",4
"77",2022,9,3,"Cyclo_OV",2
"78",2022,9,3,"Cala_OV",6
"79",2022,9,4,"Diplostraca",0
"80",2022,9,4,"Rotifera",0
"81",2022,9,4,"Cyclopoida",3
"82",2022,9,4,"Calanoida",0
"83",2022,9,4,"Cyclo_OV",0
"84",2022,9,4,"Cala_OV",0
"85",2022,9,5,"Diplostraca",0
"86",2022,9,5,"Rotifera",0
"87",2022,9,5,"Cyclopoida",25
"88",2022,9,5,"Calanoida",0
"89",2022,9,5,"Cyclo_OV",5
"90",2022,9,5,"Cala_OV",0
