"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Mercurio","Níquel","Plomo","Zinc","Coliformes totales","Coliformes fecales","Profundidad","Sólidos totales","Nitrógeno total","Manganeso","Sodio","Temp. ambiente","Transparencia Secchi","Clorofilas","fecha","año","mes","est"
24.5,8.61,6.51,632,24.8,366.57,55.83,111.94,0.92,0.1,0.022,1.78,5.94,9.15,0.51,13.02,132.01,1.63,0.056,10,506,0.1,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.082,0.0005,0.1,0.0025,0.02,3,3,3.3,516,5.94,,,,,,2009-09-02,"2009","9","14"
24.9,8.57,5.92,635,29.1,366.57,54.06,119.8,0.91,0.1,0.022,1.19,5.94,9.24,0.059,17.19,118.39,2.87,0.211,12,529,0.1,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.153,0.0005,0.1,0.0025,0.02,40000,40000,3.3,541,5.94,,,,,,2009-09-02,"2009","9","LC-02"
25.4,8.34,8.29,632,24.3,343.66,55.83,115.87,0.8,0.1,0.022,1.19,7.12,9.28,0.102,23.76,127.6,5.54,0.651,35,505,0.1,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.081,0.0005,0.1,0.0025,0.02,3,3,3.47,540,7.12,,,,,,2009-09-02,"2009","9","LC-04"
25.7,8.29,7.5,638,31.3,366.57,57.6,113.91,0.74,0.1,0.022,1.19,7.72,10.15,0.118,22.2,122.8,2.95,0.618,17,513,0.1,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.187,0.0006,0.1,0.0025,0.02,40000,40000,3.47,530,7.72,,,,,,2009-09-02,"2009","9","17"
24.3,8.03,9.67,567,27.4,320.75,55.83,119.8,0.71,0.1,0.022,1.78,11.28,9.47,0.056,25.92,113.59,9.78,0.064,30,454,0.1,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.161,0.0005,0.1,0.0025,0.056,3,3,2.45,484,11.28,,,,,,2009-09-02,"2009","9","18"
25,8.21,8.68,561,19,320.75,57.6,104.09,0.74,0.1,0.022,1.78,8.31,8.48,0.067,20.52,96.37,9.48,0.604,13,467,0.1,0.1,0.747,0.0025,0.005,0.0005,0.05,0.05,0.723,0.0005,0.1,0.0025,0.058,3,3,2.05,480,8.31,,,,,,2009-09-02,"2009","9","LC-01"
24.9,8.54,8.68,635,22.4,366.6,54.06,117.84,0.8,0.1,0.022,0.59,7.72,9.89,0.146,15.87,117.59,5.11,0.49,17,481,0.1,0.198,0.01,0.0025,0.005,0.0005,0.05,0.05,0.068,0.0005,0.1,0.0025,0.02,3,3,4.18,498,7.72,,,,,,2009-09-02,"2009","9","LC-03"
25,8.63,10.26,624,24.7,343.7,55.83,119.8,0.78,0.1,0.022,1.19,1.78,9.08,0.108,10.56,111.98,3.02,0.47,12,508,0.1,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.072,0.0005,0.1,0.0025,0.054,3,3,3,520,1.78,,,,,,2009-09-02,"2009","9","21"
24.2,8.64,10.06,626,24.3,343.7,54.94,119.8,0.72,0.1,0.022,0.59,4.15,9.11,0.207,13.05,114.39,7.79,0.352,7,518,0.1,0.198,0.01,0.0025,0.005,0.0005,0.05,0.05,0.073,0.0006,0.1,0.0025,0.02,3,3,3.15,525,4.15,,,,,,2009-09-02,"2009","9","LC-05"
25.8,8.88,14.8,619,31.4,366.6,54.06,117.84,0.71,0.1,0.022,0.59,7.72,9.06,0.19,18.69,114.39,9.21,0.0322,14,506,0.1,0.1,0.01,0.0025,0.005,0.0005,0.05,0.05,0.053,0.0006,0.1,0.0025,0.02,3,3,4.1,520,7.72,,,,,,2009-09-02,"2009","9","23"
26.1,8.6,7.7,635,32.4,321,54.94,115.8,0.72,0.1,0.022,0.594,5.94,8.89,0.265,14.3,54.82,,0.475,40,471,0.1,0.59,0.01,0.0025,0.005,0.0005,0.05,0.05,0.118,0.0005,0.1,0.0025,0.02,43000,23000,3.2,511,5.94,,,,,,2009-09-22,"2009","9","14"
26.2,8.53,9.8,651,27.6,321,56.72,111.9,0.62,0.1,0.022,0.594,6.52,8.99,0.299,16.32,62.05,6.63,0.407,48,454,0.1,,0.01,0.0025,0.005,0.0005,0.05,0.05,0.09,0.0005,0.1,0.0025,0.02,9000,9000,3.2,502,6.52,,,,,,2009-09-22,"2009","9","LC-02"
25.9,8.66,10.08,649,33.5,321,54.94,111.9,0.71,0.1,0.022,0.594,8.31,8.89,0.262,16.92,66.24,10.59,0.458,50,451,0.1,0.34,0.01,0.0025,0.005,0.0005,0.05,0.05,0.193,0.001,0.1,0.0025,0.02,3,3,3.6,501,8.31,,,,,,2009-09-22,"2009","9","LC-04"
25.9,8.66,10.87,644,30.6,321,56.72,111.9,0.74,0.39,0.022,0.594,7.59,9.73,0.318,27.12,84.13,2.06,0.558,68,537,0.1,0.2,0.01,0.0025,0.005,0.0005,0.05,0.05,0.115,0.0005,0.1,0.0025,0.02,3,3,3.3,605,7.98,,,,,,2009-09-22,"2009","9","17"
26.4,7.99,11.86,582,24.7,278.2,49.63,104,0.63,0.37,0.022,0.594,8.9,9.5,0.297,55.5,122.58,5.22,1.001,50,519,0.1,0.4,0.01,0.0025,0.005,0.0005,0.05,0.05,0.218,0.0005,0.1,0.0025,0.02,15000,15000,2.1,569,9.27,,,,,,2009-09-22,"2009","9","18"
25,8.59,10.08,611,24.5,299.6,51.4,108,0.69,0.27,0.022,0.594,7.12,8.17,0.468,26,42,3.22,0.651,58,437,0.1,0.4,0.01,0.0025,0.005,0.0005,0.05,0.05,0.143,0.0005,0.1,0.0025,0.02,4000,4000,2.2,495,7.39,,,,,,2009-09-22,"2009","9","LC-01"
27,8.82,13.04,642,27.3,321,60.26,115.8,0.67,0.1,0.022,0.594,6.53,8.73,0.357,17.52,44.54,6.39,0.436,42,477,0.1,0.3,0.01,0.0025,0.005,0.0005,0.05,0.05,0.051,0.0006,0.1,0.0025,0.02,3,3,4.8,519,6.53,,,,,,2009-09-22,"2009","9","LC-03"
27,8.83,14.43,641,26.7,331.7,55.83,108,0.76,0.1,0.022,0.594,10.09,8.03,0.387,18.93,53.68,11.28,0.416,47,483,0.1,0.4,0.01,0.0025,0.005,0.0005,0.05,0.05,0.058,0.0005,0.1,0.0025,0.02,3,3,3.15,530,10.09,,,,,,2009-09-22,"2009","9","21"
24.1,8.79,12.65,646,30,321,53.17,111.9,0.75,0.1,0.022,0.594,10.09,7.63,0.25,18,68.14,5.52,0.492,57,459,0.1,0.4,0.01,0.0025,0.005,0.0005,0.05,0.05,0.103,0.0006,0.1,0.0025,0.02,3,3,3.15,516,10.09,,,,,,2009-09-22,"2009","9","LC-05"
26.5,8.84,16.8,644,29.4,428,81.53,135.5,0.67,0.26,0.022,0.594,8.31,9.59,0.274,18.51,95.17,4.79,0.491,63,517,0.1,0.4,0.01,0.0025,0.005,0.0005,0.05,0.05,0.041,0.0007,0.1,0.0025,0.02,3,3,3.9,580,8.57,,,,,,2009-09-22,"2009","9","23"
21.7,8.58,6.12,725,27.6,358,64,136,0.77,0.1,0.022,4.12,5.88,15.12,0.019,18.39,120.3,8.37,0.35,36,464,0.1,0.69,0.01,0.0025,0.005,0.0005,0.05,0.05,0.138,0.0005,0.1,0.0025,0.02,3,3,2.9,500,5.88,0.087,73.9,,,,2009-10-29,"2009","10","14"
21.5,8.37,4.73,728,20.8,319,57,124,0.76,0.1,0.022,3.53,7.06,13.37,0.019,18.15,119.92,8.37,0.26,76,415,0.1,0.59,0.01,0.0025,0.005,0.0005,0.05,0.05,0.036,0.0005,0.1,0.0025,0.02,3,3,2.9,491,7.06,0.075,73.6,,,,2009-10-29,"2009","10","LC-02"
21.1,8.45,7.3,727,18.6,378,60,128,0.85,0.1,0.022,4.12,7.06,12.17,0.14,15.36,190.73,8.37,0.37,61,436,0.1,0.39,0.01,0.0025,0.005,0.0005,0.05,0.05,0.05,0.0005,0.1,0.0025,0.02,3,3,2.9,497,7.06,0.093,75.5,,,,2009-10-29,"2009","10","LC-04"
21.5,8.37,8.88,723,20.7,339,62,128,0.79,0.1,0.022,3.53,7.06,12.95,0.17,22.86,150,8.37,0.28,72,427,0.1,0.59,0.01,0.0025,0.005,0.0005,0.05,0.05,0.024,0.0005,0.1,0.0025,0.02,3,3,3.1,499,7.06,0.109,72.9,,,,2009-10-29,"2009","10","17"
20.8,7.42,1.57,720,16.05,349,57,139,0.7,0.1,0.022,3.53,10,13.52,0.51,17.22,100.12,8.37,0.37,48,417,0.1,0.49,0.01,0.0025,0.005,0.0005,0.05,0.05,0.15,0.0005,0.1,0.0025,0.02,40000,40000,1.9,465,10,0.2,68.1,,,,2009-10-29,"2009","10","18"
20.7,7.68,6.12,713,18.6,339,53,136,0.78,0.1,0.022,2.94,7.64,12.99,0.27,20.19,168.27,8.37,0.98,48,435,0.1,0.59,0.01,0.0025,0.005,0.0005,0.05,0.05,0.07,0.0005,0.1,0.0025,0.02,3,3,1.6,483,7.64,0.123,69.6,,,,2009-10-29,"2009","10","LC-01"
21.5,8.56,10.26,718,20.8,358,60,128,0.84,0.1,0.015,2.94,8.23,13.12,0.23,30.12,135.91,8.37,0.31,51,434,0.1,0.39,0.01,0.0025,0.005,0.0005,0.05,0.05,0.05,0.0005,0.1,0.0025,0.02,9000,9000,3.6,485,8.245,0.089,71.8,,,,2009-10-29,"2009","10","LC-03"
