"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
20,7.94,4.85,0.43,0.022,0.56,6.5,52.1,12.78,0.48,32,517,0.1,2.249,0.0134,0.005,0.0005,0.05,0.05,2.142,0.069,0.0005,0.1,0.0025,60.7,0.072,2800,2000,549,1.012,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-01"
16,7.09,2.53,0.1,0.011,1.12,2.7,29.4,42.21,0.37,4,533,0.1,0.01,0.0111,0.005,0.0005,0.05,0.05,0.21,0.057,0.0005,0.1,0.0025,68.2,0.114,12000,4300,537,1.131,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-02"
19,7.35,,0.1,0.024,6.72,16.2,147,8.8,0.62,18,728,0.3,0.363,0.0108,0.005,0.0005,0.05,0.05,0.317,0.19,0.0005,0.1,0.0025,102.5,0.067,120000,75000,746,6.744,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-04"
16,7.46,,0.1,0.025,12.32,16.6,118,26.82,1.3,16,793,0.2,0.237,0.0107,0.005,0.0005,0.05,0.056,0.275,0.264,0.0005,0.1,0.0025,95.8,0.076,43000,39000,809,12.345,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-05"
20,7.95,5.9,0.27,0.64,9.52,22.14,90.23,6.95,1.22,8,719,0.2,0.222,0.0108,0.005,0.0005,0.05,0.05,0.271,0.173,0.0005,0.1,0.0025,101.3,0.095,150000,93000,727,10.43,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-06"
26,7.36,,0.619,0.022,24.08,167,365,54.86,1.9,220,716,8,0.488,0.0109,0.005,0.104,0.05,0.05,0.39,0.132,0.0005,0.1,0.0025,92.4,2.77,930000,430000,936,24.699,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-07"
26,7.64,4.43,0.255,0.04,17.92,31.6,117,14.79,1.1,30,673,1,3.831,0.0165,0.005,1.095,0.104,0.141,5.66,0.166,0.0005,0.1,0.0115,89.2,0.907,240000,150000,703,18.215,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-08"
27,7.43,,0.1,0.022,11.2,16.4,61.6,,0.77,20,487,0.1,0.204,0.0089,0.005,0.0085,0.05,0.05,0.194,0.171,0.0005,0.1,0.0025,66,2.305,24000,9300,507,11.2,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-09"
25,7.71,,0.1,0.71,3.92,18.3,51.9,19.89,0.64,30,447,0.1,0.01,0.0115,0.005,0.0005,0.05,0.05,0.192,0.091,0.0005,0.1,0.0025,58.8,0.094,460000,93000,477,4.63,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-10"
23,7.45,,0.457,0.014,47,229.2,412,34.9,2.47,102,1003,0.5,0.753,0.011,0.005,0.0005,0.05,0.05,0.613,0.253,0.0005,0.1,0.0025,126.3,0.122,4600000,2400000,1105,47.471,,,,,,,,,,,,,,2009-02-10,"2009","2","AA-01"
19,7.61,,0.498,0.022,26.8,116.4,247,13.75,2.85,71,839,0.1,0.868,0.0127,0.005,0.0005,0.05,0.05,0.558,0.299,0.0005,0.1,0.0025,120.4,0.12,750000,430000,910,27.298,,,,,,,,,,,,,,2009-02-10,"2009","2","AA-02"
21,7.9,5.7,0.1,0.022,5.04,17.7,219.6,6.59,0.37,57,473,0.1,1.86,0.0174,0.005,0.0005,0.05,0.05,1.829,0.075,0.0005,0.1,0.0025,59.3,0.02,24000,15000,530,5.04,,,,,,,,,,,,,,2009-02-11,"2009","2","RS-01"
16,7.2,1.9,0.1,0.022,1.68,2.2,91.7,4.5,0.3,2,533,0.1,0.01,0.0152,0.005,0.0005,0.05,0.05,0.136,0.085,0.0005,0.1,0.0025,65.6,0.02,12000,7500,535,1.68,,,,,,,,,,,,,,2009-02-11,"2009","2","RS-02"
