"Temperatura","pH","Oxígeno disuelto","Conductividad","Alcalinidad total","Cloruros totales","Fluoruros","Nitrógeno amoniacal","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Zinc","Coliformes fecales","Fenoles","Plata","Temp. ambiente","fecha","año","mes","est"
13.5,8.33,7.51,1189,407.26,83.57,2.35,2.2,7.06,39.92,8.37,2.71,47,0.6,6.914,0.0025,0.0178,0.0005,0.05,0.05,3.318,0.286,0.0005,0.1,0.0025,0.02,90,0.01,,,2015-01-14,"2015","1","RV-01"
14.7,8.42,10.01,929,338.9,41.6,3.93,1.65,14.97,50.63,8.37,1.47,14,0.6,1.8974,0.0025,0.0114,0.0005,0.05,0.05,0.89,0.206,0.0005,0.1,0.0025,0.02,150,0.01,,,2015-01-14,"2015","1","RV-02"
15.2,8.92,7.61,830,316.44,48.99,3.73,0.98,6.88,33.1,8.37,1.39,25,1.6,1.521,0.0037,0.0197,0.0005,0.05,0.05,0.782,0.224,0.0005,0.1,0.0025,0.104,3,0.01,,,2015-01-15,"2015","1","RV-03"
18.9,8.83,7.98,808,256.21,43.1,5.06,1.04,3.8,27.26,8.37,0.82,13,4.4,1.5113,0.0054,0.0113,0.0005,0.05,0.05,0.798,0.123,0.0005,0.1,0.0025,0.101,40,0.01,,,2015-01-15,"2015","1","RV-04"
18.3,8.65,7.9,710,214.14,38.74,4.96,1.65,3.18,31.15,8.37,0.69,7,0.2,1.4311,0.0039,0.0064,0.0005,0.05,0.05,0.751,0.065,0.0005,0.1,0.0025,0.079,430,0.01,,,2015-01-14,"2015","1","RV-05"
19.1,8.69,8.21,665,211.28,32.57,4.72,1.59,1.29,27.26,8.37,0.52,15,0.4,1.0471,0.0031,0.0056,0.0005,0.05,0.05,0.535,0.05,0.0005,0.1,0.0025,0.034,90,0.01,,,2015-01-14,"2015","1","RV-06"
15.1,8.3,5.96,1161,421.14,80.9,2.75,0.85,4.73,32.5,8.37,2.62,50,0.4,4.0568,0.0025,0.0172,0.0005,0.05,0.05,1.842,0.545,0.0005,0.1,0.0025,0.02,230,0.01,,,2015-02-09,"2015","2","RV-01"
12.3,8.62,9.53,917,335.26,38.48,4.29,0.85,14.01,56.88,8.37,0.98,87,0.1,3.7004,0.0025,0.0103,0.0005,0.05,0.05,1.534,0.205,0.0005,0.1,0.0025,0.02,230,0.01,,,2015-02-09,"2015","2","RV-02"
15.8,8.76,8.53,930,331.35,56.2,4.33,0.5,8.22,44.93,8.37,1.81,9,1.39,1.491,0.0073,0.0104,0.0005,0.05,0.05,0.705,0.203,0.00077,0.1,0.0025,0.074,40,0.01,,,2015-02-10,"2015","2","RV-03"
20.3,8.86,7.69,842,262.54,53.39,6.5,0.5,2.66,25,8.37,0.93,7,0.99,1.5807,0.0098,0.0077,0.0005,0.05,0.05,0.705,0.107,0.00089,0.1,0.0025,0.02,230,0.01,,,2015-02-10,"2015","2","RV-04"
21.2,8.84,8.13,705,226.43,36.05,6.32,0.61,1.35,25,8.37,0.57,7,0.4,0.8041,0.0027,0.0061,0.0005,0.059,0.05,0.412,0.065,0.0005,0.1,0.0025,0.148,230,0.01,,,2015-02-09,"2015","2","RV-05"
19.1,8.73,7.94,643,203.5,28.36,4.13,0.55,1.26,25,8.37,0.52,55,0.89,1.5829,0.0028,0.0061,0.0005,0.052,0.05,0.809,0.061,0.0005,0.1,0.0025,0.095,90,0.01,,,2015-02-09,"2015","2","RV-06"
18,8.9,8.63,1253,459.16,98.38,3.71,0.5,16.13,60.91,8.37,1.9,114,1.2,5.995,0.0051,0.0129,0.0005,0.05,0.05,3.285,0.452,0.00169,0.1,0.0036,0.027,230,0.01,,,2015-03-11,"2015","3","RV-01"
17.2,8.71,8.59,980,326.39,46.55,7.09,0.61,14.06,45.56,8.37,1.17,80,0.9,2.8413,0.0075,0.0109,0.0005,0.05,0.05,1.472,0.371,0.00259,0.1,0.0025,0.03,9300,0.01,,,2015-03-11,"2015","3","RV-02"
17.6,8.49,5.6,888,314.4,48.02,5.24,0.55,5.62,33.09,8.37,1.36,49,1.2,2.124,0.0062,0.0086,0.0005,0.05,0.05,1.006,0.246,0.00095,0.1,0.0025,0.025,40,0.01,,,2015-03-11,"2015","3","RV-03"
21.6,8.77,7.19,811,257.7,52.73,7.12,0.5,1.51,25,8.37,1.07,19,1.5,1.078,0.0077,0.005,0.0005,0.05,0.05,0.537,0.08,0.00083,0.1,0.0025,0.028,90,0.01,,,2015-03-11,"2015","3","RV-04"
23.8,8.41,7.17,612,211.6,32.54,4.97,0.91,1.04,25,8.37,0.72,16,1.1,1.0417,0.007,0.0053,0.0005,0.05,0.05,0.51,0.053,0.00189,0.1,0.0025,0.034,90,0.01,,,2015-03-12,"2015","3","RV-05"
17.9,8.48,7.84,686,222.2,41.14,5.97,1.59,8.67,30.69,8.37,1.16,17,0.8,1.0296,0.0055,0.005,0.0005,0.05,0.05,0.681,0.075,0.0005,0.1,0.0025,0.023,24000,0.01,,,2015-03-12,"2015","3","RV-06"
20.6,8.67,5.24,1091,356.54,73.46,2.55,2.62,28.5,59.14,8.37,2.67,63,1.3,3.6322,0.0025,0.005,0.0005,0.05,0.05,1.661,0.471,0.0005,0.1,0.0025,0.02,4600,0.01,,,2015-04-08,"2015","4","RV-01"
20.7,8.73,6.94,1069,347.07,51.82,4.37,0.5,14.7,70.78,8.37,1.87,95,1.2,4.4671,0.0066,0.0062,0.00136,0.05,0.05,2.149,0.309,0.0005,0.1,0.0025,0.02,1500,0.01,,,2015-04-08,"2015","4","RV-02"
