"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Profundidad","Temp. ambiente","Transparencia Secchi","Sulfuros","Clorofilas","fecha","año","mes","est"
20,8.8,6.84,969,25,469,77.6,168.9,0.77,0.1,0.057,1.38,1.38,16.5,0.16,14,144.5,4.89,0.48,92,528,0.1,1.974,0.0025,0.005,0.0005,0.05,0.05,1.065,0.123,0.0005,0.1,0.0025,98.3,0.074,3,3,620,1.38,,,,,,2009-02-25,"2009","2","LZ-05"
20,8.85,5.64,935,32.5,469,65.5,188.9,0.69,0.1,0.022,0.69,0.69,13,0.13,9.06,127.6,5.72,0.33,29,631,0.1,1.667,0.0025,0.005,0.0005,0.05,0.05,0.866,0.113,0.0005,0.1,0.0025,91.4,0.5,3,3,660,0.69,,,,,,2009-02-25,"2009","2","LZ-06"
20,8.83,5.25,961,25,328.3,69.2,180.5,0.75,0.1,0.022,0.69,0.69,12.6,0.16,13.72,136.9,9.37,0.348,33,664,0.1,2.147,0.0025,0.005,0.0005,0.05,0.05,0.997,0.127,0.0005,0.1,0.0025,90.7,0.02,3,3,697,0.69,,,,,,2009-02-25,"2009","2","LZ-07"
20,8.92,7.67,952,22,422.1,70.9,195.8,0.85,0.1,0.022,0.5,0.5,15,0.23,12.06,130.6,10,0.251,60,632,0.1,2.323,0.0025,0.005,0.0005,0.05,0.05,1.254,0.122,0.0005,0.1,0.0025,92.2,0.02,15000,9000,692,,,,,,,2009-02-25,"2009","2","LZ-04"
21,8.95,9.08,973,12,515.9,67.5,172.8,0.79,0.1,0.022,1.4,1.4,15.5,0.16,10.92,130.3,2.33,0.317,33,707,0.1,1.968,0.0025,0.005,0.0005,0.05,0.05,1.024,0.11,0.0005,0.1,0.0025,92,0.02,150000,150000,740,1.4,,,,,,2009-02-25,"2009","2","LZ-09"
20,8.93,8.6,944,34,469,67.5,188.2,0.85,0.1,0.022,0.69,0.69,12.7,0.15,11.96,207.7,1.95,0.27,89,636,0.1,2.098,0.0025,0.005,0.0005,0.05,0.05,0.989,0.112,0.0005,0.1,0.0025,88.4,0.02,3,3,725,0.69,,,,,,2009-02-25,"2009","2","LZ-01"
19,8.84,8.28,949,51,422.1,62.4,161.3,0.77,0.1,0.022,0.69,0.69,13.6,0.16,13.42,235.9,4.52,0.61,76,700,0.1,3,0.0025,0.005,0.0005,0.05,0.05,1.499,0.152,0.0005,0.1,0.0025,90.6,0.02,3,3,776,0.69,,,,,,2009-02-25,"2009","2","LZ-11"
20,8.93,8.88,930,26.5,328.3,69.2,134.4,0.86,0.1,0.022,0.69,0.69,12.5,0.11,9.24,119,1.92,0.26,116,550,0.1,1.262,0.0025,0.005,0.0005,0.05,0.05,0.612,0.095,0.0005,0.1,0.0025,89,0.052,28000,20000,666,0.69,,,,,,2009-02-25,"2009","2","LZ-03"
20,8.87,7.06,967,16,469,75.9,165.1,0.83,0.1,0.022,0.69,0.69,11.3,0.11,10.32,126.9,4.45,0.34,24,702,0.1,1.434,0.0025,0.005,0.0005,0.05,0.05,0.767,0.119,0.0005,0.1,0.0025,89.2,0.02,28000,21000,726,0.69,,,,,,2009-02-25,"2009","2","LZ-02"
20,8.43,7.47,1014,4.5,422,77.6,226.6,0.86,0.1,0.022,0.5,0.5,10.2,0.14,5.4,139.6,5.15,0.37,10,646,0.1,0.691,0.0025,0.005,0.0005,0.05,0.05,0.29,0.098,0.0005,0.1,0.0025,89.7,0.02,28000,28000,656,,,,,,,2009-02-25,"2009","2","LZ-14"
