"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.0025","0","0.0025","0.0025","0"
"2010","60","1875","3198","0.0025","9000","171"
"2011","30","2400","1825","0.0025","5000","76"
"2012","30","1027","1482","0.0025","3500","144"
"2013","38","492","1050","0.0025","2800","213"
"2014","50","906","1651","0","4300","182"
"2015","55","705","1296","0.0025","3700","184"
"2016","55","598","1313","0","4400","219"
"2017","55","694","1398","0.0025","4200","201"
"2018","55","1964","2856","0.0025","9300","145"
"2019","55","1340","2396","0.0025","9700","179"
"2020","5","6440","1115","5000","7500","17"
"2021","55","2033","2991","0.0025","9000","147"
"2022","60","1707","2425","0.0025","8300","142"
