"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","","","Inf","-Inf",""
"2010","30","171","177","7","626","104"
"2011","30","127","57","23","286","45"
"2012","0","","","Inf","-Inf",""
"2013","18","31","43","0.35","129","140"
"2014","48","116","86","0.34","277","74"
"2015","50","196","65","67","333","33"
"2016","55","278","87","94","540","31"
"2017","55","294","125","110","726","43"
"2018","55","325","139","86","1091","43"
"2019","55","233","68","81","342","29"
"2020","5","233","70","129","304","30"
"2021","55","395","635","8","4603","161"
"2022","60","236","94","12","403","40"
