"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","7375","14856","3","43000","201"
"2010","60","179905","1198666","3","9300000","666"
"2011","30","17811","47127","90","240000","265"
"2012","0","","","Inf","-Inf",""
"2013","18","69871","221749","230","930000","317"
"2014","50","11830","28584","3","110000","242"
"2015","54","11970","27484","3","110000","230"
"2016","55","26960","73137","0.2","460000","271"
"2017","55","13859","62250","210","460000","449"
"2018","55","25477","91575","40","460000","359"
"2019","55","37836","160109","90","1100000","423"
"2020","5","3035","6689","3","15000","220"
"2021","55","142028","692721","9","4600000","488"
"2022","60","123506","621175","23","4600000","503"
