"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","23","13","11","83","54"
"2010","60","21","6.6","10","39","31"
"2011","30","18","4.2","13","25","23"
"2012","30","22","6.7","15","38","30"
"2013","38","18","4.4","12","29","24"
"2014","50","15","4.4","6.4","25","28"
"2015","55","16","7.2","8.8","37","45"
"2016","55","21","7.3","10","49","35"
"2017","55","19","5.7","7","32","31"
"2018","55","19","6.8","9.9","42","36"
"2019","55","18","6.8","7.5","38","37"
"2020","5","15","3","12","19","20"
"2021","55","14","5.6","4.4","28","41"
"2022","60","13","7.5","4.6","47","58"
