"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","123","10","104","144","8.5"
"2010","60","127","12","93","158","9.7"
"2011","30","146","15","115","178","10"
"2012","30","125","14","102","142","11"
"2013","35","134","17","100","183","13"
"2014","50","144","19","106","192","13"
"2015","55","149","10","126","168","6.9"
"2016","55","156","15","113","184","9.7"
"2017","54","182","13","164","210","7"
"2018","55","191","13","164","222","6.6"
"2019","55","170","25","72","213","15"
"2020","5","160","2.8","156","163","1.7"
"2021","55","121","31","71","168","26"
"2022","60","154","79","101","434","51"
