"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","39","7","2.4","1.6","11","34"
"2010","60","12","18","5.3","149","157"
"2011","30","7.6","2.5","4.1","16","33"
"2012","30","8.7","1.6","8.4","17","18"
"2013","35","8.5","0.61","8.4","12","7.2"
"2014","50","7.6","2.7","0","13","35"
"2015","55","8.6","0.82","8.4","13","9.6"
"2016","55","10","6.8","8.4","43","65"
"2017","55","9.9","2.8","8.4","25","28"
"2018","54","8.6","2.8","5.1","15","33"
"2019","55","7","3.3","5.1","21","47"
"2020","5","8.5","4.2","5.1","13","49"
"2021","55","7.8","4.4","5.1","24","56"
"2022","60","13","13","5.1","66","106"
