"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","20","624","377","0.11","960","60"
"2010","10","444","470","0.11","980","106"
"2011","0","","","Inf","-Inf",""
"2012","30","265","315","0.05","840","119"
"2013","38","493","330","0.05","980","67"
"2014","50","509","367","0.05","990","72"
"2015","55","400","341","0.05","940","85"
"2016","55","419","360","0.05","950","86"
"2017","55","256","326","0.05","910","127"
"2018","55","154","272","0.05","940","177"
"2019","55","176","296","0.05","950","169"
"2020","5","124","277","0.05","620","224"
"2021","55","171","301","0.05","880","176"
"2022","60","310","331","0.05","870","107"
