"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","","","Inf","-Inf",""
"2010","0","","","Inf","-Inf",""
"2011","0","","","Inf","-Inf",""
"2012","0","","","Inf","-Inf",""
"2013","22","0","0","0","0",""
"2014","0","","","Inf","-Inf",""
"2015","0","","","Inf","-Inf",""
"2016","0","","","Inf","-Inf",""
"2017","0","","","Inf","-Inf",""
"2018","0","","","Inf","-Inf",""
"2019","0","","","Inf","-Inf",""
"2020","0","","","Inf","-Inf",""
"2021","0","","","Inf","-Inf",""
"2022","0","","","Inf","-Inf",""
