"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","20525","27056","0.0005","70000","132"
"2010","60","78","430","0.0005","2700","549"
"2011","30","4400","16747","0.0005","67000","381"
"2012","30","8428","24797","0.0005","97000","294"
"2013","38","16526","28813","0.0005","98000","174"
"2014","50","6840","18763","0.0005","64000","274"
"2015","55","24042","30680","0.0005","75000","128"
"2016","55","19655","33251","0.0005","96000","169"
"2017","55","10576","21820","0.00025","69000","206"
"2018","55","15843","31703","0.0005","91000","200"
"2019","55","13665","27950","0.0005","98000","205"
"2020","5","28204","40453","0.0005","89000","143"
"2021","55","21","159","0.0005","1180","742"
"2022","60","2167","11766","0.0005","65000","543"
