"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","2.3","1.7","0.59","8.2","73"
"2010","60","1.5","1.5","0.5","7.2","102"
"2011","30","2.3","2.4","0.25","6.3","102"
"2012","20","0.58","0.35","0.5","2.1","60"
"2013","38","0.88","0.63","0.5","3.6","72"
"2014","50","1.4","0.93","0.14","6","66"
"2015","55","0.9","0.48","0.5","2.1","53"
"2016","55","0.68","0.47","0.1","2.7","70"
"2017","55","0.68","0.77","0.5","5.5","114"
"2018","55","0.61","0.49","0.5","3.4","79"
"2019","55","0.65","0.37","0.5","2.1","57"
"2020","5","2.3","4","0.5","9.4","174"
"2021","55","1.1","0.71","0.5","3.9","64"
"2022","60","0.85","0.65","0.5","3.4","76"
