"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","3.8","24","0.022","150","629"
"2010","60","56","136","0.022","870","243"
"2011","30","0.022","0","0.022","0.022","0"
"2012","30","10","39","0.022","160","380"
"2013","38","70","230","0.022","990","328"
"2014","50","0.069","0.15","0.022","0.62","211"
"2015","55","0.022","0","0.022","0.022","0"
"2016","55","24","124","0.022","680","519"
"2017","55","16","120","0.022","890","740"
"2018","55","5.3","39","0.01","290","740"
"2019","55","2.6","19","0.01","140","739"
"2020","5","0.01","0","0.01","0.01","0"
"2021","55","11","66","0.01","460","573"
"2022","60","34","84","0.01","480","247"
