"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","20","72","2.4","66","76","3.4"
"2010","10","75","11","61","92","15"
"2011","10","76","6","69","91","7.9"
"2012","30","100","8.9","60","105","9"
"2013","38","105","17","73","133","17"
"2014","50","112","9.7","90","132","8.7"
"2015","55","111","14","84","128","13"
"2016","55","103","16","0.0025","115","15"
"2017","55","124","14","80","147","11"
"2018","55","124","9.2","101","137","7.4"
"2019","55","146","14","82","172","9.9"
"2020","5","147","2.9","142","149","2"
"2021","55","169","42","25","256","25"
"2022","60","138","15","87","162","11"
