"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","39","0.26","0.19","0.1","0.69","73"
"2010","60","0.5","0.52","0.1","3.2","104"
"2011","30","2.9","3.8","0.1","9.3","132"
"2012","30","0.72","0.28","0.1","1.3","40"
"2013","35","0.95","0.64","0.1","2.3","67"
"2014","50","0.5","0.41","0.1","1.4","83"
"2015","55","2","1.2","0.1","7.3","62"
"2016","55","2.8","1.5","0.31","7.5","51"
"2017","48","3.5","1.5","1.6","7.4","42"
"2018","54","2.4","1.3","0.29","6.5","54"
"2019","55","1.1","1","0.1","4.6","90"
"2020","5","0.19","0.14","0.1","0.43","76"
"2021","55","0.48","0.5","0.1","1.9","104"
"2022","60","0.52","0.71","0.1","3.3","135"
