"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","","","Inf","-Inf",""
"2010","60","23","3.3","14","28","14"
"2011","30","27","2.2","23","32","8.1"
"2012","29","28","2.5","23","33","8.9"
"2013","38","25","3.5","18","30","14"
"2014","50","24","4.1","17","32","17"
"2015","55","23","2.6","16","28","11"
"2016","20","20","4.8","10","24","24"
"2017","49","22","2.8","16","30","13"
"2018","55","22","4","12","30","18"
"2019","55","24","3.5","13","30","15"
"2020","5","18","2.6","15","21","14"
"2021","55","23","2.2","17","33","9.7"
"2022","60","22","2.5","15","26","12"
