"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","23","2.3","20","27","9.8"
"2010","59","23","3.4","15","29","15"
"2011","30","25","2.7","20","30","11"
"2012","30","26","1.6","24","29","6"
"2013","38","25","3","19","30","12"
"2014","50","23","3.1","17","30","13"
"2015","55","24","3.3","17","33","14"
"2016","55","23","2.7","16","26","12"
"2017","55","23","2.3","18","30","10"
"2018","55","22","3.1","17","27","14"
"2019","55","22","2.3","16","26","10"
"2020","5","19","0.84","18","20","4.5"
"2021","55","22","2.4","15","26","11"
"2022","60","22","2.5","17","26","11"
