"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","","","Inf","-Inf",""
"2010","50","14","99","0.1","700","699"
"2011","30","0.16","0.03","0.12","0.24","19"
"2012","29","97","246","0.05","700","254"
"2013","28","0.39","0.35","0.09","0.9","90"
"2014","0","","","Inf","-Inf",""
"2015","35","60","199","0.08","700","331"
"2016","20","9.4","5.6","0.14","15","59"
"2017","0","","","Inf","-Inf",""
"2018","0","","","Inf","-Inf",""
"2019","0","","","Inf","-Inf",""
"2020","0","","","Inf","-Inf",""
"2021","0","","","Inf","-Inf",""
"2022","0","","","Inf","-Inf",""
