"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","25","4.5","16","34","18"
"2010","60","57","31","17","240","54"
"2011","30","53","7","35","65","13"
"2012","30","73","20","45","140","27"
"2013","38","74","29","39","190","38"
"2014","50","56","17","31","100","30"
"2015","55","57","17","24","95","29"
"2016","55","92","117","22","922","127"
"2017","55","69","19","22","110","28"
"2018","55","85","23","23","180","27"
"2019","55","66","22","9","110","33"
"2020","5","110","7.1","100","120","6.4"
"2021","55","86","24","40","140","28"
"2022","60","57","20","18","95","36"
