"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","73","198","0.02","710","270"
"2010","60","175","326","0.02","970","186"
"2011","30","304","282","0.02","910","93"
"2012","30","457","1287","0.02","7100","282"
"2013","38","215","257","0.02","770","119"
"2014","50","133","249","0.02","860","188"
"2015","55","279","253","0.02","860","91"
"2016","55","118","206","0.02","700","174"
"2017","55","184","277","0.02","980","150"
"2018","55","163","218","0.02","720","133"
"2019","55","99","166","0.02","590","169"
"2020","5","96","132","0.02","260","138"
"2021","55","68","132","0.02","520","194"
"2022","60","32","98","0.02","430","312"
