"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","345","29","278","428","8.3"
"2010","60","315","60","132","450","19"
"2011","30","315","23","275","352","7.4"
"2012","30","330","35","213","364","10"
"2013","38","344","38","234","392","11"
"2014","50","337","50","33","387","15"
"2015","55","363","33","289","411","9.2"
"2016","55","357","20","318","384","5.5"
"2017","55","396","26","357","474","6.5"
"2018","55","438","24","348","479","5.4"
"2019","55","467","65","216","618","14"
"2020","5","480","7.6","471","492","1.6"
"2021","55","443","97","115","566","22"
"2022","60","372","33","244","434","9"
