"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.035","0.12","0.01","0.75","351"
"2010","60","75","185","0.01","719","248"
"2011","30","282","296","0.01","914","105"
"2012","30","1.1","1.4","0.19","5.1","131"
"2013","38","64","136","0.11","530","213"
"2014","50","183","289","0.01","804","158"
"2015","55","235","347","0.01","990","147"
"2016","55","156","292","0.01","990","187"
"2017","55","69","211","0.1","922","304"
"2018","55","117","262","0.1","925","224"
"2019","55","120","301","0.1","990","250"
"2020","5","0.3","0.16","0.21","0.59","54"
"2021","55","54","193","0.17","935","358"
"2022","60","135","291","0.1","886","215"
