"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.005","0","0.005","0.005","0"
"2010","60","0.005","0","0.005","0.005","0"
"2011","30","450","363","0.1","999","81"
"2012","30","776","183","0.11","996","24"
"2013","38","4718","3515","0.005","9100","75"
"2014","50","2648","3735","0.005","9700","141"
"2015","55","4382","4442","0.005","9900","101"
"2016","55","2188","3507","0.005","9900","160"
"2017","55","0.16","0.021","0.13","0.2","13"
"2018","55","63","227","0.11","897","360"
"2019","55","127","295","0.005","964","231"
"2020","5","0.23","0.02","0.2","0.24","9"
"2021","55","179","349","0.1","990","194"
"2022","60","418","453","0.1","990","108"
