"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.0005","0","0.0005","0.0005","0"
"2010","60","0.0005","0","0.0005","0.0005","0"
"2011","30","3030","14266","0.0005","78000","471"
"2012","30","21839","34703","0.0005","95000","159"
"2013","38","0.0005","0","0.0005","0.0005","0"
"2014","50","1940","13718","0.0005","97000","707"
"2015","55","2693","13936","0.0005","88000","517"
"2016","55","3.3","25","0.0005","183","742"
"2017","55","9120","22165","0.0005","75000","243"
"2018","55","6974","22428","0.0005","95000","322"
"2019","55","19609","34531","0.0005","99000","176"
"2020","5","12600","28174","0.0005","63000","224"
"2021","55","9324","23775","0.0005","98000","255"
"2022","60","9976","22374","0.0005","66000","224"
