"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","58","5.4","50","82","9.4"
"2010","60","51","10","8","66","20"
"2011","30","57","5.7","46","66","10"
"2012","30","63","7","36","70","11"
"2013","38","60","9.4","35","73","16"
"2014","50","63","5.2","51","74","8.2"
"2015","55","64","8","53","94","12"
"2016","55","61","3.8","54","70","6.2"
"2017","55","68","5.3","60","80","7.8"
"2018","55","80","5.7","64","89","7.1"
"2019","55","95","10","48","108","11"
"2020","5","96","2.1","92","98","2.2"
"2021","55","109","31","19","157","29"
"2022","60","84","11","53","108","13"
