"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.05","0","0.05","0.05","0"
"2010","60","0.05","0","0.05","0.05","0"
"2011","30","0.05","0","0.05","0.05","0"
"2012","30","41","158","0.05","680","382"
"2013","38","17","104","0.05","640","605"
"2014","50","0.056","0.041","0.05","0.34","74"
"2015","55","60","191","0.05","740","322"
"2016","55","0.049","0.0067","0.0005","0.05","14"
"2017","55","0.05","0","0.05","0.05","0"
"2018","55","0.05","0","0.05","0.05","0"
"2019","55","0.05","0","0.05","0.05","0"
"2020","5","0.05","0","0.05","0.05","0"
"2021","55","0.05","0","0.05","0.05","0"
"2022","60","0.05","0","0.05","0.05","0"
