"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","6875","13934","3","43000","203"
"2010","60","172231","1199029","3","9300000","696"
"2011","30","15376","47401","40","240000","308"
"2012","29","12987","34727","3","150000","267"
"2013","38","30710","150737","3","930000","491"
"2014","50","7243","20780","3","110000","287"
"2015","55","8424","25580","3","110000","304"
"2016","55","29652","77961","3","460000","263"
"2017","55","11770","62237","3","460000","529"
"2018","55","18076","71546","40","460000","396"
"2019","55","36248","160258","40","1100000","442"
"2020","5","3035","6689","3","15000","220"
"2021","55","99604","452626","4","2400000","454"
"2022","60","96706","594427","9","4600000","615"
