"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","681","61","561","766","8.9"
"2010","60","652","107","212","830","16"
"2011","30","719","49","649","812","6.8"
"2012","30","795","62","541","880","7.7"
"2013","38","829","84","605","939","10"
"2014","50","840","56","706","1014","6.7"
"2015","55","867","114","691","1198","13"
"2016","55","799","164","7.4","932","21"
"2017","55","883","72","758","974","8.2"
"2018","55","1017","59","825","1132","5.8"
"2019","55","1125","98","722","1265","8.7"
"2020","5","1783","53","1725","1842","3"
"2021","55","1171","274","313","1532","23"
"2022","60","949","88","677","1101","9.3"
