"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","115","35","42","191","30"
"2010","60","152","38","98","236","25"
"2011","30","144","36","97","209","25"
"2012","30","179","23","117","212","13"
"2013","38","180","41","97","323","23"
"2014","50","239","54","145","395","22"
"2015","55","194","100","92","793","51"
"2016","55","201","76","93","336","38"
"2017","55","173","42","99","309","24"
"2018","55","211","33","110","264","15"
"2019","55","236","92","96","514","39"
"2020","5","299","57","250","396","19"
"2021","55","249","111","56","503","45"
"2022","60","129","22","85","180","17"
