"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","243","324","0.02","980","134"
"2010","60","213","328","0.03","940","154"
"2011","30","137","316","0.06","930","231"
"2012","30","257","382","0.05","990","148"
"2013","38","285","384","0.11","940","135"
"2014","50","319","407","0.05","990","127"
"2015","55","417","1010","0.05","7200","242"
"2016","55","264","374","0.05","980","141"
"2017","55","326","372","0.05","960","114"
"2018","55","296","403","0.05","980","136"
"2019","55","215","373","0.08","980","174"
"2020","5","0.17","0.091","0.11","0.33","53"
"2021","55","237","366","0.05","990","154"
"2022","60","341","392","0.05","990","115"
