"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.79","0.091","0.62","1","12"
"2010","60","0.84","0.11","0.27","1","14"
"2011","30","0.85","0.077","0.73","1","9.1"
"2012","30","0.98","0.11","0.65","1.1","11"
"2013","38","0.81","0.15","0.57","1.2","18"
"2014","50","0.91","0.21","0.54","1.2","23"
"2015","55","1.1","0.25","0.72","1.8","23"
"2016","55","0.91","0.71","0.49","5.9","78"
"2017","55","1.1","0.79","0.62","4","69"
"2018","55","0.92","0.25","0.62","2","27"
"2019","55","1.8","0.89","0.7","4.7","48"
"2020","5","1.6","0.3","1.2","2","19"
"2021","55","0.85","0.25","0.47","2.2","29"
"2022","60","0.83","0.36","0.49","3.4","43"
