"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","39","140","0.21","640","364"
"2010","60","0.65","0.47","0.3","3.3","72"
"2011","30","0.56","0.22","0.3","1.4","39"
"2012","30","0.68","0.26","0.31","1.6","38"
"2013","38","0.87","0.33","0.37","2.3","37"
"2014","50","1","0.21","0.37","1.6","21"
"2015","55","1.1","0.098","0.88","1.3","8.9"
"2016","55","1.3","0.15","1.1","1.8","11"
"2017","55","1.5","0.22","1.2","2.5","14"
"2018","55","1.5","0.15","1.3","1.9","9.8"
"2019","55","1.5","0.2","1.3","2.2","13"
"2020","5","1.6","0.19","1.3","1.8","12"
"2021","55","1.6","0.27","1.2","2.3","17"
"2022","60","1.7","0.28","1.2","2.7","17"
