"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.12","0.07","0.1","0.39","57"
"2010","60","0.42","0.49","0.1","2.1","116"
"2011","30","0.37","0.083","0.23","0.49","22"
"2012","30","0.3","0.15","0.1","0.77","49"
"2013","38","0.11","0.045","0.1","0.35","40"
"2014","50","0.11","0.024","0.1","0.22","22"
"2015","55","0.12","0.025","0.1","0.2","21"
"2016","55","0.1","0.011","0.1","0.15","11"
"2017","55","0.1","0.0067","0.1","0.15","6.7"
"2018","55","0.1","0","0.1","0.1","0"
"2019","55","0.15","0.11","0.1","0.84","74"
"2020","5","0.37","0.063","0.3","0.47","17"
"2021","55","0.12","0.045","0.1","0.29","37"
"2022","60","0.14","0.043","0.1","0.24","32"
