"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","7.5","1.7","1.8","11","23"
"2010","60","6.1","3","0.5","13","49"
"2011","20","7.3","3.6","2.4","13","49"
"2012","20","8.5","1.1","4.7","9.5","13"
"2013","38","8.7","2","1.8","12","23"
"2014","50","8.5","1.2","6.4","12","14"
"2015","55","8.2","2.1","5.4","18","25"
"2016","55","8.4","1.9","0.022","15","22"
"2017","55","10","2.4","6.3","20","25"
"2018","55","12","3.7","8.3","25","31"
"2019","55","9.6","1.6","7","13","17"
"2020","5","9.7","0.73","8.8","10","7.5"
"2021","55","11","3.1","5.1","20","28"
"2022","60","8.3","1.5","5.5","13","19"
