"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","7.6","1.7","1.8","11","23"
"2010","60","6.6","2.9","1","13","44"
"2011","20","7.7","3.6","2.6","13","47"
"2012","30","6","4.1","0.21","10","70"
"2013","38","8.7","1.9","1.8","12","22"
"2014","50","8.6","1.2","6.4","12","14"
"2015","55","8.3","2.1","5.4","18","25"
"2016","55","8.6","1.5","6.3","15","17"
"2017","55","10","2.4","6.3","20","24"
"2018","55","12","3.7","8.3","25","31"
"2019","55","9.8","1.6","7.2","13","16"
"2020","5","10","0.75","9.2","11","7.4"
"2021","55","11","2.9","5.5","20","26"
"2022","60","8.5","1.5","5.5","13","18"
