"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","9.5","3.4","1.6","17","36"
"2010","60","8.7","4.7","0.23","18","54"
"2011","30","8.2","3.1","2.1","14","38"
"2012","30","12","4.9","1.3","18","42"
"2013","38","11","5.2","1.9","19","49"
"2014","50","8.5","3.9","1.3","16","46"
"2015","55","8","3.9","1.5","16","49"
"2016","50","9.3","4.6","2","20","50"
"2017","15","10","2.2","6.2","15","21"
"2018","54","8.4","2.9","1.5","17","35"
"2019","55","7.9","2","3.3","13","25"
"2020","5","7.4","0.72","6.6","8.4","9.8"
"2021","55","7.3","2.2","3.9","14","30"
"2022","60","7.4","3.4","0.43","20","46"
