"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.0025","0","0.0025","0.0025","0"
"2010","60","0.0025","0","0.0025","0.0025","0"
"2011","30","852","1807","0.0025","6400","212"
"2012","30","2448","2821","0.0025","9200","115"
"2013","38","187","774","0.0025","3800","414"
"2014","50","3","21","0.0025","151","707"
"2015","55","93","688","0.0025","5100","742"
"2016","55","65","485","0.0025","3600","742"
"2017","55","611","1353","0.0025","5100","221"
"2018","55","15","48","0.0025","214","327"
"2019","55","3713","3452","0.0025","9800","93"
"2020","5","4240","650","3700","5300","15"
"2021","55","3626","3304","0.0025","9700","91"
"2022","60","4410","3441","0.0025","9800","78"
