"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","3.1","0.66","1.6","4.8","22"
"2010","60","3.1","0.85","1.3","5","27"
"2011","30","3","0.78","1.6","4.7","26"
"2012","30","2.9","0.57","1.7","4.3","19"
"2013","38","3","0.83","0.93","4.5","28"
"2014","42","3.3","0.75","1.4","4.8","23"
"2015","50","3.5","0.65","1.9","5","19"
"2016","20","3.2","0.94","1.5","5","29"
"2017","0","","","Inf","-Inf",""
"2018","0","","","Inf","-Inf",""
"2019","0","","","Inf","-Inf",""
"2020","0","","","Inf","-Inf",""
"2021","0","","","Inf","-Inf",""
"2022","0","","","Inf","-Inf",""
