"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","46","162","0.019","670","354"
"2010","60","0.1","0.088","0.019","0.37","88"
"2011","30","0.028","0.048","0.019","0.28","173"
"2012","30","0.03","0.062","0.019","0.36","205"
"2013","38","0.019","0","0.019","0.019","0"
"2014","50","0.019","0","0.019","0.019","0"
"2015","55","0.019","0","0.019","0.019","0"
"2016","55","0.12","0.084","0.019","0.19","67"
"2017","55","0.19","0.019","0.19","0.33","9.8"
"2018","55","0.1","0","0.1","0.1","0"
"2019","55","0.14","0.098","0.1","0.46","68"
"2020","5","0.1","0","0.1","0.1","0"
"2021","55","0.13","0.069","0.1","0.46","52"
"2022","60","0.22","0.17","0.1","0.82","76"
