"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","50","28","7","115","55"
"2010","60","49","21","18","105","42"
"2011","30","54","34","14","176","64"
"2012","30","85","31","22","155","37"
"2013","38","68","34","7","200","50"
"2014","50","45","21","13","117","46"
"2015","55","48","20","11","86","42"
"2016","55","50","21","7","90","42"
"2017","55","71","24","18","136","33"
"2018","55","85","96","25","764","113"
"2019","55","70","24","20","117","35"
"2020","5","72","6","68","82","8.3"
"2021","55","70","28","10","170","40"
"2022","60","59","17","25","89","29"
