"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","11","2","7.6","15","19"
"2010","60","8.5","1.8","6.5","15","21"
"2011","30","9.2","1.3","7.5","12","14"
"2012","30","11","1.7","9.3","17","15"
"2013","38","11","2.8","3","24","25"
"2014","50","11","1.6","9.1","18","14"
"2015","55","16","39","3","298","240"
"2016","55","11","4.6","5","41","42"
"2017","55","10","0.18","10","11","1.8"
"2018","55","10","0.31","10","12","3"
"2019","55","13","14","10","114","113"
"2020","5","10","0","10","10","0"
"2021","55","15","10","10","51","67"
"2022","60","10","0","10","10","0"
