"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","487","68","415","778","14"
"2010","60","486","65","339","594","13"
"2011","30","532","74","393","713","14"
"2012","30","535","65","254","599","12"
"2013","38","560","71","286","670","13"
"2014","50","590","40","436","646","6.8"
"2015","55","611","66","435","718","11"
"2016","55","589","43","498","704","7.2"
"2017","55","623","37","554","717","5.9"
"2018","55","686","33","597","741","4.8"
"2019","55","774","72","491","899","9.3"
"2020","5","777","16","754","799","2.1"
"2021","55","777","183","273","1033","24"
"2022","60","637","97","77","783","15"
