"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","535","71","465","838","13"
"2010","60","535","72","417","656","13"
"2011","30","586","58","509","730","9.9"
"2012","30","620","66","309","690","11"
"2013","38","628","85","286","731","14"
"2014","50","636","37","553","723","5.8"
"2015","55","660","76","454","786","12"
"2016","55","638","50","558","766","7.8"
"2017","55","694","43","623","776","6.1"
"2018","55","760","39","661","831","5.1"
"2019","55","843","80","543","999","9.5"
"2020","5","849","15","827","867","1.7"
"2021","55","848","196","395","1107","23"
"2022","60","707","77","539","863","11"
