"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","55","22.109","3.077","17","27","13.918"
"pH","55","9.145","0.44","7.4","9.7","4.807"
"Oxígeno disuelto","54","8.358","2.896","1.49","16.62","34.655"
"Conductividad","55","1016.996","58.583","824.7","1132","5.76"
"Turbiedad","55","84.564","22.664","23","180","26.801"
"Alcalinidad total","55","438.052","23.532","348.38","478.71","5.372"
"Cloruros totales","55","79.662","5.695","64.09","88.65","7.148"
"Dureza total","55","190.844","12.534","163.94","221.51","6.567"
"Fluoruros","55","0.925","0.248","0.62","1.97","26.762"
"Nitrógeno de nitratos","55","0.1","0","0.1","0.1","0"
"Nitrógeno de nitritos","55","5.283","39.102","0.01","290","740.216"
"Nitrógeno amoniacal","55","0.614","0.487","0.5","3.37","79.271"
"Nitrógeno total Kjeldahl","55","12.251","3.749","8.33","24.87","30.604"
"Sulfatos","55","10.091","0.307","10","11.58","3.044"
"SAAM","55","0.1","0","0.1","0.1","0"
"DBO Turbiedad","55","18.755","6.819","9.93","42.24","36.356"
"DQO","55","210.928","32.517","109.87","263.66","15.416"
"Grasas y aceites","54","8.582","2.815","5.14","15.39","32.798"
"Fósforo total","55","1.537","0.15","1.27","1.87","9.751"
"SST","55","85.4","96.106","25","764","112.536"
"Sólidos disueltos tot.","55","686.218","32.908","597","741","4.796"
"Sólidos sedimentables","55","0.102","0.013","0.1","0.2","13.243"
"Sulfuros","54","2.351","1.276","0.29","6.53","54.267"
"Aluminio","55","117.05","261.742","0.1","925","223.616"
"Arsénico","55","1963.638","2856.399","0.002","9300","145.465"
"Bario","55","62.949","226.723","0.107","897","360.17"
"Cadmio","55","6973.819","22428.137","0","95000","321.605"
"Cobre","55","0.05","0","0.05","0.05","0"
"Cromo","55","13.504","99.775","0.05","740","738.874"
"Fierro","55","296.472","403.204","0.05","980","136.001"
"Manganeso","55","154.229","272.436","0.05","940","176.644"
"Mercurio","55","15842.909","31702.743","0","91000","200.107"
"Níquel","55","0.1","0","0.1","0.1","0"
"Plomo","55","14.711","48.059","0.002","214","326.682"
"Sodio","55","123.727","9.193","100.6","137.1","7.43"
"Zinc","55","163.469","217.833","0.02","720","133.256"
"Coliformes totales","55","25477.455","91574.523","40","460000","359.434"
"Coliformes fecales","55","18076","71546.498","40","460000","395.809"
"Profundidad","0","NaN",NA,"Inf","-Inf",NA
"Temp. ambiente","55","21.745","4.015","12","30","18.463"
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","55","759.582","38.996","661","831","5.134"
"Nitrógeno total","55","12.252","3.749","8.33","24.87","30.6"
"Clorofilas","55","324.771","139.166","85.82","1090.54","42.851"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
