"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.035","0.123","0.01","0.747","351.065"
"2010","60","74.827","185.454","0.01","719","247.844"
"2011","30","281.807","295.948","0.01","914","105.018"
"2012","30","1.103","1.442","0.186","5.08","130.721"
"2013","38","63.723","135.656","0.107","530","212.884"
"2014","50","182.673","288.98","0.01","804","158.195"
"2015","55","235.163","346.689","0.01","990","147.425"
"2016","55","156.112","291.718","0.01","990","186.865"
"2017","55","69.361","210.815","0.101","922","303.939"
"2018","55","117.05","261.742","0.1","925","223.616"
"2019","55","120.09","300.662","0.101","990","250.363"
"2020","5","0.299","0.162","0.206","0.586","54.073"
"2021","55","54.013","193.278","0.171","935","357.834"
"2022","50","161.889","311.983","0.103","886","192.714"
