"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.002","0","0.002","0.002","0"
"2010","60","1875.435","3198.305","0.002","9000","170.537"
"2011","30","2400.001","1825.489","0.002","5000","76.062"
"2012","30","1026.668","1481.827","0.002","3500","144.334"
"2013","38","492.107","1050.194","0.002","2800","213.407"
"2014","50","906.002","1650.653","0","4300","182.191"
"2015","55","705.456","1296.35","0.002","3700","183.76"
"2016","55","598.189","1312.542","0","4400","219.419"
"2017","55","693.947","1398.235","0.002","4200","201.49"
"2018","55","1963.638","2856.399","0.002","9300","145.465"
"2019","55","1340.131","2396.157","0.002","9700","178.8"
"2020","5","6440","1114.899","5000","7500","17.312"
"2021","55","2033.092","2990.861","0.002","9000","147.109"
"2022","50","2048.001","2523.54","0.002","8300","123.22"
