"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.005","0","0.005","0.005","0"
"2010","60","0.005","0","0.005","0.005","0"
"2011","30","449.813","363.271","0.102","999","80.761"
"2012","30","776.17","182.531","0.114","996","23.517"
"2013","38","4717.896","3515.246","0.005","9100","74.509"
"2014","50","2647.602","3734.55","0.005","9700","141.054"
"2015","55","4382.055","4442.04","0.005","9900","101.369"
"2016","55","2187.818","3506.834","0.005","9900","160.289"
"2017","55","0.161","0.021","0.127","0.202","13.037"
"2018","55","62.949","226.723","0.107","897","360.17"
"2019","55","127.253","294.544","0.005","964","231.463"
"2020","5","0.227","0.02","0.204","0.244","9.01"
"2021","55","179.404","348.605","0.1","990","194.313"
"2022","50","454.28","460.868","0.1","990","101.45"
