"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0","0","0","0","0"
"2010","60","0","0","0","0","0"
"2011","30","3029.537","14266.307","0","78000","470.907"
"2012","30","21839","34703.49","0","95000","158.906"
"2013","38","0","0","0","0","0"
"2014","50","1940","13717.871","0","97000","707.107"
"2015","55","2693.091","13935.805","0","88000","517.465"
"2016","55","3.328","24.676","0","183","741.508"
"2017","55","9120.364","22164.716","0","75000","243.024"
"2018","55","6973.819","22428.137","0","95000","321.605"
"2019","55","19609.455","34530.932","0","99000","176.093"
"2020","5","12600","28174.456","0","63000","223.607"
"2021","55","9323.637","23775.199","0","98000","254.999"
"2022","50","11971.2","24050.005","0","66000","200.899"
