"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","NaN",NA,"Inf","-Inf",NA
"2010","30","171.085","177.115","7","625.6","103.525"
"2011","30","127.473","56.895","23","286","44.633"
"2012","0","NaN",NA,"Inf","-Inf",NA
"2013","18","31.128","43.432","0.352","129.3","139.526"
"2014","48","115.899","85.769","0.337","276.7","74.004"
"2015","50","195.751","64.964","66.8","333.01","33.187"
"2016","55","277.573","87.134","94.17","539.6","31.391"
"2017","55","293.688","124.914","110.49","726.14","42.533"
"2018","55","324.771","139.166","85.82","1090.54","42.851"
"2019","55","232.631","67.643","81.29","342.5","29.077"
"2020","5","232.76","69.593","129.23","304.2","29.899"
"2021","55","394.872","635.233","7.98","4602.63","160.871"
"2022","50","236.487","101.86","11.79","402.89","43.072"
