"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","57.585","5.4","49.61","81.53","9.378"
"2010","60","50.79","10.227","8","66","20.135"
"2011","30","56.599","5.707","46.01","65.73","10.082"
"2012","30","63.288","6.987","36.38","69.8","11.039"
"2013","38","60.474","9.378","34.84","72.92","15.508"
"2014","50","63.078","5.185","51.05","73.55","8.221"
"2015","55","64.488","8.003","53.3","93.82","12.411"
"2016","55","61.42","3.788","54.1","70.36","6.168"
"2017","55","68.454","5.34","60.46","79.72","7.8"
"2018","55","79.662","5.695","64.09","88.65","7.148"
"2019","55","94.695","10.155","47.95","108.23","10.724"
"2020","5","95.824","2.073","92.37","97.61","2.163"
"2021","55","109.49","31.391","19.24","157.48","28.67"
"2022","50","86.105","11.704","53.07","108.02","13.592"
