"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.05","0","0.05","0.05","0"
"2010","60","0.05","0","0.05","0.05","0"
"2011","30","0.05","0","0.05","0.05","0"
"2012","30","41.38","158.074","0.05","680","382.005"
"2013","38","17.167","103.78","0.05","640","604.53"
"2014","50","0.056","0.041","0.05","0.342","73.952"
"2015","55","59.501","191.456","0.05","740","321.771"
"2016","55","0.049","0.007","0","0.05","13.594"
"2017","55","0.05","0","0.05","0.05","0"
"2018","55","0.05","0","0.05","0.05","0"
"2019","55","0.05","0","0.05","0.05","0"
"2020","5","0.05","0","0.05","0.05","0"
"2021","55","0.05","0","0.05","0.05","0"
"2022","50","0.05","0","0.05","0.05","0"
