"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","6874.525","13934.321","3","43000","202.695"
"2010","60","172231.2","1199029.129","3","9300000","696.174"
"2011","30","15376.333","47400.822","40","240000","308.271"
"2012","29","12986.966","34726.517","3","150000","267.395"
"2013","38","30710.421","150736.861","3","930000","490.833"
"2014","50","7242.84","20780.491","3","110000","286.911"
"2015","55","8423.745","25580.458","3","110000","303.671"
"2016","55","29651.873","77960.687","3","460000","262.92"
"2017","55","11769.691","62237.369","3","460000","528.794"
"2018","55","18076","71546.498","40","460000","395.809"
"2019","55","36248.182","160257.778","40","1100000","442.113"
"2020","5","3034.6","6688.933","3","15000","220.422"
"2021","55","99603.6","452625.586","4","2400000","454.427"
"2022","50","106587.8","648839.878","9","4600000","608.737"
