"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","7374.525","14856.118","3","43000","201.452"
"2010","60","179905.3","1198666.349","3","9300000","666.276"
"2011","30","17810.667","47127.361","90","240000","264.602"
"2012","0","NaN",NA,"Inf","-Inf",NA
"2013","18","69871.111","221749.329","230","930000","317.369"
"2014","50","11830.26","28583.782","3","110000","241.616"
"2015","54","11969.685","27483.554","3","110000","229.61"
"2016","55","26959.549","73136.518","0.201","460000","271.282"
"2017","55","13859.091","62249.685","210","460000","449.161"
"2018","55","25477.455","91574.523","40","460000","359.434"
"2019","55","37836.364","160108.777","90","1100000","423.161"
"2020","5","3034.6","6688.933","3","15000","220.422"
"2021","55","142027.964","692720.765","9","4600000","487.735"
"2022","50","138684.66","677744.316","23","4600000","488.695"
